name,v_nom,x,y,frequency,operator,wkt_srid_4326,ref,voltage,typ,osm_name
21,380.0,10.1575015165,53.5551316686,50,50Hertz Transmission;Stromnetz Hamburg GmbH,SRID=4326;POINT(10.1575015165126 53.5551316685834),,380000;110000,substation,Umspannwerk Hamburg/Ost
22,380.0,9.20210420095,53.89515741,50,50Hertz Transmission,SRID=4326;POINT(9.20210420095253 53.8951574100045),,380000;220000;110000,substation,Umspannwerk Kernkraftwerk Brunsbüttel
23,220.0,9.98853660866,53.7662776686,50,TenneT;Schleswig-Holstein Netz AG,SRID=4326;POINT(9.98853660865951 53.766277668594),,220000;110000,substation,Hamburg Nord
24,380.0,9.72699196993,54.2914209868,50,TenneT;Schleswig-Holstein Netz AG,SRID=4326;POINT(9.72699196993402 54.2914209867842),,220000;110000,substation,Audorf
25,380.0,9.34476098807,53.9218370583,50,TenneT,SRID=4326;POINT(9.34476098807139 53.9218370583068),,380000,substation,Umspannwerk Wilster
26,380.0,9.34400177216,53.8517774635,,,SRID=4326;POINT(9.34400177215961 53.8517774635399),,380000;220000,substation,Brokdorf
27,220.0,9.52960512907,53.6189906942,50,,SRID=4326;POINT(9.52960512906833 53.6189906941937),,220000;110000,substation,Stade
28,220.0,9.77654483875,53.6906352606,50,TenneT,SRID=4326;POINT(9.77654483874895 53.6906352606291),,220000;110000,substation,Kummerfeld
29,380.0,10.3821666628,52.9932540373,50,TenneT,SRID=4326;POINT(10.3821666628198 52.9932540372914),,380000,substation,Stadorf
30,380.0,9.50178966782,53.5428143723,50,,SRID=4326;POINT(9.5017896678173 53.5428143723363),,380000;220000;110000,substation,Dollern
31,380.0,9.7461508164,50.9168399491,50,EON_Netz,SRID=4326;POINT(9.74615081640288 50.9168399490798),,380000;110000,substation,Mecklar
32,380.0,11.1228545605,50.998909067,50,50Hertz Transmission GmbH,SRID=4326;POINT(11.1228545605428 50.9989090670144),,380000;220000;110000,substation,Umspannwerk Vieselbach
33,380.0,10.3859411644,51.0018133015,50,50Hertz,SRID=4326;POINT(10.3859411643633 51.0018133014781),,380000;110000,substation,Eisenach
34,220.0,8.12264230305,53.560516049,50,TenneT,SRID=4326;POINT(8.12264230304551 53.5605160490331),MAAD,380000;220000,substation,Umspannwerk Maade
35,220.0,8.08565059716,53.6058341926,50,TenneT;EON_Netz,SRID=4326;POINT(8.08565059715704 53.605834192587),VOSL,220000;110000,substation,Voslapp
36,220.0,8.06005695814,53.6202025751,50,TenneT,SRID=4326;POINT(8.06005695814032 53.6202025750861),INHA,220000;155000,substation,Inhausen
37,380.0,11.6389127631,52.2687346818,,50Hertz Transmission GmbH,SRID=4326;POINT(11.6389127631156 52.2687346818467),,380000;220000,substation,Umspannwerk Wolmirstedt
38,380.0,13.2115276454,52.5806278102,50,Vattenfall_Europe_Transmission,SRID=4326;POINT(13.2115276454389 52.5806278102291),,380000;110000,substation,Umspannwerk Teufelsbruch
39,380.0,11.7273534151,52.5689469939,50,50Hertz Transmission GmbH,SRID=4326;POINT(11.7273534150745 52.5689469938591),StW,380000;110000,substation,Stendal/West
40,380.0,13.1433929103,53.9081469774,50,50Hertz Transmission GmbH,SRID=4326;POINT(13.1433929102518 53.9081469774219),,380000;110000,substation,Siedenbrünzow
41,380.0,11.853105708,53.086544475,,50Hertz;EON_Avacon,SRID=4326;POINT(11.8531057080136 53.0865444750041),,380000;110000,substation,Umspannwerk Perleberg
42,380.0,12.1869848227,53.8157751724,50,50Hertz,SRID=4326;POINT(12.1869848227216 53.8157751724384),,380000;220000,substation,Güstrow
43,220.0,12.499365967,52.4052284252,,50Hertz Transmission GmbH,SRID=4326;POINT(12.4993659669539 52.4052284251973),,220000;110000,substation,Brandenburg-West
44,220.0,13.5061534469,52.4738223092,50,50Hertz;Vattenfall Europe AG,SRID=4326;POINT(13.5061534469385 52.473822309174),,220000;110000,substation,Umspannwerk Wuhlheide
45,220.0,13.305753295,52.2307818452,50,50Hertz Transmission GmbH,SRID=4326;POINT(13.3057532949594 52.2307818451873),,380000;220000;110000,substation,Thyrow
46,380.0,13.524198731,52.5356342713,50,50Hertz,SRID=4326;POINT(13.5241987309997 52.5356342713481),MZA9,380000;220000;110000,substation,Umspannwerk Marzahn
47,380.0,13.4564306928,52.5214517452,50,Vattenfall Europe AG;50Hertz,SRID=4326;POINT(13.4564306927748 52.5214517451981),,380000;110000,substation,Umspannwerk Friedrichshain
48,380.0,13.5370442127,52.5374565238,50,Stromnetz Berlin,SRID=4326;POINT(13.5370442127043 52.5374565238016),BIN,110000,substation,Umspannwerk Biesdorf Nord
49,380.0,10.9993330124,52.2001419746,,TenneT TSO GmbH,SRID=4326;POINT(10.99933301239 52.2001419745622),,380000;110000,substation,Umspannwerk Helmstedt
50,380.0,10.9772332275,52.1694333177,,E.ON Kraftwerke GmbH,SRID=4326;POINT(10.9772332275028 52.1694333176707),,,plant,Kraftwerk Buschhaus
51,380.0,9.25938382025,51.0603668474,50,TenneT,SRID=4326;POINT(9.25938382024592 51.0603668474477),,380000;110000,substation,Umspannwerk Borken
52,380.0,8.31334016593,49.0090434644,50,EnBW,SRID=4326;POINT(8.3133401659254 49.0090434643525),,380000;220000;110000,substation,Karlsruhe-Daxlanden
53,380.0,7.7534954654,48.0993557006,50,EnBW,SRID=4326;POINT(7.75349546540486 48.0993557006259),,380000;220000;110000,substation,380-kV-Umspannwerk Eichstetten
54,380.0,8.43846751212,49.2524597289,,EnBW Kernkraft GmbH,SRID=4326;POINT(8.43846751211921 49.2524597288652),,,plant,Kernkraftwerk Philippsburg
55,220.0,8.51211132936,49.2939656496,50,EnBW,SRID=4326;POINT(8.51211132935593 49.293965649573),,220000;110000,substation,Umspannwerk Altlußheim
56,380.0,8.62320967452,49.3565822493,50,EnBW,SRID=4326;POINT(8.62320967451897 49.3565822492832),,380000;220000,substation,Umspannwerk Neurott
57,220.0,8.44554248929,48.9860881754,50,,SRID=4326;POINT(8.44554248929306 48.9860881753906),,220000;110000,substation,Umspannwerk Oberwald
58,220.0,8.64158406338,48.8900524832,50,EnBW,SRID=4326;POINT(8.64158406338239 48.8900524832355),,220000;110000,substation,220 kV-Umspannwerk Birkenfeld
59,380.0,8.56374399744,53.0317215836,50,TenneT;EON_Netz;EWE,SRID=4326;POINT(8.56374399744213 53.0317215835514),GANK,380000;110000,substation,Ganderkesee
60,380.0,8.47470704899,53.4286511943,50,EON_Netz,SRID=4326;POINT(8.47470704898602 53.4286511943138),UWES,380000;220000;110000,substation,Unterweser
61,380.0,8.51888180952,53.2026352837,50,Avacon AG,SRID=4326;POINT(8.51888180951659 53.2026352836834),FARG,110000,substation,Umspannwerk Farge
62,220.0,8.82002487242,53.1073882919,50,swb Netze GmbH & Co. KG,SRID=4326;POINT(8.82002487241632 53.1073882918815),,220000;110000,substation,Umspannwerk Blockland
63,220.0,8.12076909802,48.704835426,50,EnBW,SRID=4326;POINT(8.12076909802284 48.7048354259965),,220000;110000,substation,Bühl
64,380.0,11.4407746483,48.1718035473,,Stadtwerke München,SRID=4326;POINT(11.4407746483177 48.1718035473026),MZ,380000;110000,substation,Hauptumspannwerk Menzing
65,380.0,13.3264049985,50.3463721851,,ČEPS,SRID=4326;POINT(13.3264049984725 50.3463721850552),,400000;220000,substation,Hradec
66,380.0,12.1147644054,49.6311550522,50,Tennet;EON_Netz,SRID=4326;POINT(12.1147644054101 49.6311550521523),ETZ,380000;220000;110000,substation,Umspannwerk Etzenricht
67,380.0,8.69516075602,53.0925360848,50,Wesernetz,SRID=4326;POINT(8.69516075602312 53.0925360847799),NVLD,380000;110000,substation,Niedervieland
68,380.0,8.77244296019,49.9746686651,,RWE,SRID=4326;POINT(8.77244296019056 49.974668665137),,380000;220000;110000,substation,Umspannwerk Urberach
69,380.0,8.41937105938,49.6337356824,50,RWE,SRID=4326;POINT(8.41937105938048 49.6337356823792),,380000;220000,substation,Station Bürstadt
70,380.0,8.38855636788,49.9823050841,,RWE; Kraftwerke Mainz-Wiesbaden,SRID=4326;POINT(8.38855636787547 49.9823050841271),,380000;110000,substation,Umspannstation Bischofsheim
71,380.0,12.2621734868,51.7410202756,50,50Hertz,SRID=4326;POINT(12.2621734868101 51.7410202755519),,380000;110000,substation,Umspannwerk Marke
72,380.0,11.8942661378,51.4057031412,50,50Hertz;enviaM,SRID=4326;POINT(11.8942661378135 51.4057031412478),,380000;110000,substation,Umspannwerk Lauchstädt
73,380.0,13.1570904872,51.8284516615,50,50Hertz,SRID=4326;POINT(13.1570904871893 51.8284516615019),,380000,substation,Umspannwerk Schönewalde
74,380.0,13.9024346887,51.874723519,50,50Hertz,SRID=4326;POINT(13.9024346886892 51.8747235190459),RAG,380000;110000,substation,Umspannwerk Ragow
75,380.0,11.5165549672,51.5843592099,50,50Hertz,SRID=4326;POINT(11.5165549672107 51.5843592098734),,380000;110000,substation,Umspannwerk Klostermansfeld
76,380.0,8.70221844883,51.7363525828,,TenneT,SRID=4326;POINT(8.70221844882815 51.7363525828065),,380000;110000,substation,Umspannwerk Elsen
77,380.0,8.99279240395,51.3430093979,50,Eon_Netz,SRID=4326;POINT(8.99279240395088 51.343009397907),,380000;110000,substation,Umspannwerk Twistetal
78,380.0,11.6463786274,50.534876971,50,50Hertz Transmission GmbH,SRID=4326;POINT(11.6463786274424 50.534876971042),RDF;RE,380000;220000;110000,substation,Umspannwerk Remptendorf
79,380.0,14.4719654743,51.5538127186,50,50Hertz_Transmission;enviaM,SRID=4326;POINT(14.4719654742998 51.5538127185923),GRS,380000;110000,substation,Graustein
80,380.0,14.5081091811,51.4137103812,50,50Hertz,SRID=4326;POINT(14.5081091811329 51.4137103812427),,380000,substation,Umspannwerk Bärwalde
81,380.0,14.4281804852,51.8888641394,50,50Hertz,SRID=4326;POINT(14.4281804852225 51.8888641394403),PRL,380000;110000,substation,Umspannwerk Preilack
82,220.0,8.14191382633,53.564001168,,EON_Netz,SRID=4326;POINT(8.14191382633093 53.5640011680095),,,plant,EON Kraftwerk Wilhelmshaven
83,220.0,10.1562824576,54.275548255,50,EON_Netz;TenneT,SRID=4326;POINT(10.1562824575947 54.2755482549913),,220000;110000,substation,Kiel-Süd
84,220.0,10.1773541035,54.3395212639,,E.ON Kraftwerke GmbH;Stadtwerke Kiel AG,SRID=4326;POINT(10.1773541034729 54.3395212638642),,,generator,Gemeinschaftskraftwerk Kiel
85,380.0,7.03496796515,52.2028607381,,RWE,SRID=4326;POINT(7.03496796515083 52.2028607381056),,380000;220000;110000,substation,Station Gronau
86,380.0,7.30820430095,52.4768353863,50,Amprion,SRID=4326;POINT(7.30820430094578 52.4768353862806),,380000;220000;110000,substation,Hanekenfähr
87,380.0,7.06030699176,51.6964760131,50,RWE,SRID=4326;POINT(7.06030699176008 51.6964760130648),,380000;220000;110000,substation,Station Kusenhorst
88,220.0,6.67467532062,51.3249574728,,RWE,SRID=4326;POINT(6.6746753206169 51.3249574728255),,220000;110000,substation,Station Gellep
89,220.0,6.72376714521,51.3556543809,50,RWE,SRID=4326;POINT(6.72376714521247 51.3556543809247),,220000;110000,substation,Station Mündelheim
90,380.0,7.54571772262,51.9703244224,50,RWE,SRID=4326;POINT(7.54571772261949 51.9703244223875),,380000;110000,substation,Station Roxel
91,380.0,7.30561448538,52.4801491896,,RWE AG,SRID=4326;POINT(7.30561448538174 52.4801491895706),,,plant,Erdgaskraftwerk Emsland
92,380.0,7.30433875539,52.4824259958,,,SRID=4326;POINT(7.30433875539085 52.4824259958004),,380000,substation,
93,380.0,7.27715391323,52.7532425947,50,TenneT,SRID=4326;POINT(7.27715391322869 52.7532425946802),MEPP,380000;110000,substation,Meppen
94,380.0,8.3077568968,52.3456356448,50,Amprion,SRID=4326;POINT(8.30775689679575 52.3456356447783),,380000;220000;110000,substation,Wehrendorf
95,380.0,7.88957671235,52.2773967624,50,Amprion,SRID=4326;POINT(7.88957671235007 52.2773967624078),,380000;220000;110000,substation,Station Westerkappeln
96,380.0,7.31784994378,52.4691114903,50,,SRID=4326;POINT(7.31784994377907 52.4691114902799),,220000,substation,Benteler Stahlwerk
97,380.0,13.3352803847,49.5896898613,50,ČEPS,SRID=4326;POINT(13.3352803846608 49.5896898612644),,400000;220000;110000,substation,Rozvodna Přeštice
98,380.0,12.2147735097,54.1003234404,50,50Hertz Transmission,SRID=4326;POINT(12.2147735096776 54.1003234403618),,380000,substation,Bentwisch HGÜ
99,380.0,6.99647659179,49.3754093063,50,Amprion,SRID=4326;POINT(6.99647659179489 49.3754093063084),,380000;220000;110000,substation,Umspannwerk Uchtelfangen
100,380.0,6.47473977007,49.9224692994,50,Amprion; Westnetz,SRID=4326;POINT(6.47473977006816 49.9224692993999),,380000;220000;110000,substation,Station Niederstedem
101,380.0,11.6993926965,53.5722744893,,50Hertz,SRID=4326;POINT(11.6993926965362 53.5722744892702),,380000,substation,Wessin
102,380.0,11.3706373689,53.6009910849,50,50Hertz;EON_edis,SRID=4326;POINT(11.3706373688866 53.6009910848999),,380000;110000,substation,Görries
103,380.0,6.94821343461,51.444578943,,RWE,SRID=4326;POINT(6.94821343461115 51.4445789430072),,380000;110000,substation,Station Rosenblumendelle
104,380.0,6.9267589636,51.4992056838,50,RWE,SRID=4326;POINT(6.92675896360373 51.4992056838496),,380000;220000,substation,Station Büscherhof
105,380.0,6.68078798894,51.6462959357,,RWE,SRID=4326;POINT(6.68078798893986 51.6462959356851),,380000;220000;110000,substation,Station Niederrhein
106,380.0,7.16721460966,51.3899067582,50,Amprion,SRID=4326;POINT(7.16721460965932 51.3899067582106),,380000;220000;110000,substation,Station Hattingen
107,380.0,7.12557291067,51.4489772588,50,RWE,SRID=4326;POINT(7.1255729106725 51.4489772588145),,380000;220000,substation,Station Eiberg
108,380.0,6.99606888011,51.5141695891,50,,SRID=4326;POINT(6.99606888010598 51.5141695891404),,380000;110000,substation,Station Karnap
109,380.0,7.3131828429,51.4466113896,50,RWE,SRID=4326;POINT(7.31318284290137 51.4466113896128),,380000,substation,Witten
110,380.0,7.99288723333,51.6837077156,50,RWE,SRID=4326;POINT(7.99288723332679 51.6837077155955),,380000,substation,Station Uentrop
111,380.0,8.62480052815,51.4278883849,50,Amprion,SRID=4326;POINT(8.62480052815036 51.4278883849265),,380000;110000,substation,Station Nehden
112,380.0,7.3531118694,51.5758105021,50,RWE,SRID=4326;POINT(7.35311186939787 51.5758105020818),,380000,substation,Station Mengede
113,380.0,7.1232388295,51.5256121803,50,RWE,SRID=4326;POINT(7.12323882950453 51.5256121803004),,380000;110000,substation,Station Hüllen
114,380.0,8.21170597595,51.1779854801,50,Amprion,SRID=4326;POINT(8.21170597594605 51.1779854801194),,380000;110000,substation,Station Arpe
115,220.0,6.57648208812,51.0555954583,,,SRID=4326;POINT(6.57648208812114 51.0555954583116),,,generator,RWE Kraftwerk Frimmersdorf
116,220.0,6.77252309438,51.1471054906,50,,SRID=4326;POINT(6.77252309438106 51.1471054906194),,220000;110000,substation,Station Norf
117,380.0,6.97257742701,50.7956930175,,RWE,SRID=4326;POINT(6.97257742700703 50.795693017514),,380000;220000;110000,substation,Station Sechtem
118,380.0,7.13689469739,50.6428608767,50,Amprion,SRID=4326;POINT(7.13689469738717 50.6428608767133),,380000;110000,substation,Station Ließem
119,380.0,6.45655246642,50.8713380369,50,Net,SRID=4326;POINT(6.45655246642153 50.8713380368705),,380000;110000,substation,Station Oberzier
120,380.0,7.86394571365,50.7682419129,50,RWE,SRID=4326;POINT(7.86394571365263 50.7682419129404),,380000;220000;110000,substation,Station Dauersberg
121,380.0,6.32166491494,50.8383473628,,RWE,SRID=4326;POINT(6.32166491493505 50.8383473627586),,,plant,RWE Kraftwerk Weisweiler
122,380.0,6.16738169006,50.8020442927,50,Amprion,SRID=4326;POINT(6.16738169006425 50.8020442927138),,380000;110000,substation,Station Verlautenheide
123,380.0,6.7022033778,51.0088609097,50,RWE,SRID=4326;POINT(6.70220337779745 51.0088609096753),,380000;220000,substation,Station Rommerskirchen
124,380.0,6.61240231531,51.0359242595,50,,SRID=4326;POINT(6.61240231530956 51.0359242594819),,380000;220000;110000,substation,KW Neurath
125,380.0,6.96568442352,51.0693295322,,RWE,SRID=4326;POINT(6.96568442352005 51.0693295322353),,380000;220000;110000,substation,Station Opladen
126,380.0,7.23319684332,51.2325069075,50,RWE,SRID=4326;POINT(7.23319684331545 51.2325069075148),,380000;110000,substation,Station Linde
127,380.0,6.30090123787,50.8289532123,50,,SRID=4326;POINT(6.30090123786765 50.8289532122665),,380000;110000,substation,Umspannwerk Weisweiler
128,380.0,7.44948529011,50.4025276621,50,Amprion,SRID=4326;POINT(7.44948529010545 50.4025276621126),,380000;220000;110000,substation,Station Weißenthurm
129,380.0,6.62582790177,51.2606098249,50,RWE,SRID=4326;POINT(6.62582790177014 51.2606098249047),,220000;110000,substation,Station Osterath
130,380.0,7.12308195236,51.1715887782,50,,SRID=4326;POINT(7.12308195236379 51.1715887782054),,380000;110000,substation,Station Halfeshof
131,380.0,6.80109333957,51.1225390519,50,RWE,SRID=4326;POINT(6.80109333956604 51.1225390518584),,380000;220000,substation,Station Sankt Peter 380 kV
132,380.0,7.00877914033,51.174254918,50,Amprion,SRID=4326;POINT(7.00877914033175 51.1742549180397),,380000;110000,substation,Station Ohligs
133,380.0,6.84265066151,50.8635385009,,Amprion,SRID=4326;POINT(6.8426506615144 50.8635385008881),,380000;110000,substation,Station Knapsack
134,220.0,6.80461158013,50.9662452961,,RWE,SRID=4326;POINT(6.80461158012622 50.9662452961379),,220000;110000,substation,Station Brauweiler
135,380.0,7.71862721454,51.5342075115,,Amprion,SRID=4326;POINT(7.7186272145384 51.5342075115271),,380000;110000,substation,Station Unna
136,380.0,7.93077008561,51.6729710197,,Trianel,SRID=4326;POINT(7.93077008561427 51.6729710197069),,380000,substation,Geithe
137,220.0,6.22183144596,51.6946456422,,RWE,SRID=4326;POINT(6.22183144595687 51.6946456422206),,220000;110000,substation,Station Pfalzdorf
138,380.0,7.0067498786,51.599911422,,,SRID=4326;POINT(7.00674987859998 51.5999114220203),,,generator,Kraftwerk Scholven
139,220.0,7.03761988504,51.5985496312,,RWE,SRID=4326;POINT(7.03761988504233 51.5985496311832),,220000;110000,substation,Station Bergmannsglück
140,220.0,7.26408346259,51.5735734104,50,Amprion,SRID=4326;POINT(7.2640834625924 51.5735734103802),,220000;110000,substation,Station Pöppinghausen
141,220.0,7.27894711303,51.4722816773,50,Amprion,SRID=4326;POINT(7.2789471130269 51.4722816773138),,220000;110000,substation,Station Laer
142,220.0,7.18667755312,51.5505890706,,Evonik Industries AG,SRID=4326;POINT(7.18667755311932 51.550589070577),,,generator,Kraftwerk Herne Baukau
143,380.0,7.35135784055,51.5683686081,,E.On Kraftwerke GmbH,SRID=4326;POINT(7.35135784054859 51.568368608134),,,generator,Kraftwerk Knepper
144,220.0,7.17937912539,51.4722019484,,Amprion,SRID=4326;POINT(7.17937912538938 51.4722019484347),,220000;110000,substation,Station Bochum
145,220.0,6.93488869659,51.0335223351,50,RheinEnergie,SRID=4326;POINT(6.93488869659333 51.0335223350589),,220000;110000,substation,UW Fühlingen
146,220.0,6.82813596908,51.1626762414,50,,SRID=4326;POINT(6.82813596908193 51.1626762413706),,220000;110000,substation,Station Reisholz
147,220.0,7.50597329672,51.4015925504,,markE,SRID=4326;POINT(7.50597329671546 51.401592550355),,220000;110000,substation,Umspannwerk Garenfeld
148,220.0,6.84699931065,51.2055917698,50,RWE;Stadtwerke Düsseldorf,SRID=4326;POINT(6.84699931064759 51.2055917698058),,220000;110000,substation,Station Eller
149,220.0,7.19316578267,50.7983350647,,RWE,SRID=4326;POINT(7.19316578267403 50.798335064694),,220000;110000,substation,Station Siegburg
150,220.0,7.04738452411,50.9055286095,50,RWE,SRID=4326;POINT(7.0473845241055 50.9055286094924),,220000;110000,substation,Station Gremberghoven
151,220.0,6.70967369517,51.0909407428,,Amprion,SRID=4326;POINT(6.70967369516713 51.0909407427733),,220000;110000,substation,Station Gohrpunkt
152,220.0,7.0129374264,50.6176584938,50,RWE,SRID=4326;POINT(7.01293742640329 50.6176584938251),,220000;110000,substation,Station Meckenheim
153,220.0,6.33006858949,51.2429161504,50,RWE,SRID=4326;POINT(6.33006858948983 51.2429161503794),,380000;220000;110000,substation,Station Dülken
154,220.0,7.02354449916,50.9990684096,50,,SRID=4326;POINT(7.0235444991641 50.999068409611),,220000,substation,Station Dünnwald
155,220.0,7.72438401522,51.4093341306,50,Amprion,SRID=4326;POINT(7.72438401522458 51.4093341305984),,220000;110000,substation,Umspannwerk Bixterheide
156,380.0,6.84223115148,50.8598647244,,,SRID=4326;POINT(6.84223115147656 50.8598647243573),,380000;220000,substation,Kraftwerkschaltanlage Knapsack 1
157,380.0,8.3642295307,51.9271204905,50,Amprion,SRID=4326;POINT(8.364229530696 51.9271204904611),,380000;220000;110000,substation,Station Gütersloh
158,380.0,6.48812326382,50.8810703126,50,RWE,SRID=4326;POINT(6.48812326381716 50.8810703125704),,380000,substation,Station Hambach
159,380.0,8.05408735442,53.3323026934,50,TenneT,SRID=4326;POINT(8.05408735442182 53.3323026933898),CONN,380000;220000;110000,substation,Conneforde
160,380.0,8.47791063609,53.428485469,50,EON_Netz,SRID=4326;POINT(8.47791063608626 53.428485468955),,380000;220000,substation,Kernkraftwerk Unterweser
161,220.0,8.05283751634,53.3338809599,50,TenneT;EON_Netz,SRID=4326;POINT(8.05283751634017 53.3338809598955),CONN,220000;110000,substation,Conneforde 110/220 kV
162,220.0,6.85153113795,50.984170468,50,,SRID=4326;POINT(6.85153113794826 50.9841704680083),,220000;110000,substation,Bocklemünd
163,380.0,6.59601979462,50.9525274624,50,Amprion,SRID=4326;POINT(6.59601979462215 50.9525274624278),,380000;110000,substation,Station Paffendorf
164,380.0,7.33861258614,51.631978125,50;16.7,E.ON,SRID=4326;POINT(7.33861258614081 51.6319781250427),,380000;110000,substation,Schaltanlage Datteln 4
165,380.0,7.70831848873,51.6762033088,50,Amprion,SRID=4326;POINT(7.70831848872651 51.6762033088437),,380000;220000;110000,substation,Station Gersteinwerk
166,380.0,7.6170209951,51.6371337641,,RWE; evonik,SRID=4326;POINT(7.61702099509812 51.6371337640588),,,generator,Kraftwerk Bergkamen
167,220.0,7.52228010104,51.5321980552,50,Ampirion,SRID=4326;POINT(7.52228010104186 51.5321980552231),,220000;110000,substation,Station Wambel
168,380.0,6.90660779029,51.5652424465,50,RWE; ELE,SRID=4326;POINT(6.90660779028721 51.5652424465435),,380000;110000,substation,Station Nordlicht
169,220.0,6.96734393054,51.4908618864,50,,SRID=4326;POINT(6.96734393053748 51.4908618864265),,220000,substation,LMG
170,220.0,6.87287359352,51.4457833372,50,,SRID=4326;POINT(6.87287359352087 51.4457833372124),,220000;110000,substation,Styrum
171,220.0,6.86804496308,51.3744747806,,RWE,SRID=4326;POINT(6.86804496307922 51.3744747805902),,220000;110000,substation,Station Selbeck
172,220.0,6.78752251671,51.5055501,50,Amprion,SRID=4326;POINT(6.78752251671348 51.505550100013),,220000;110000,substation,Station Hamborn
173,380.0,6.62284323547,51.2587133681,50,RWE,SRID=4326;POINT(6.62284323546559 51.258713368098),,380000,substation,Station Osterath
174,220.0,6.81216588075,51.5196200118,50,Amprion,SRID=4326;POINT(6.81216588075166 51.5196200118095),,220000;110000,substation,Station Handbach
175,220.0,6.72031000056,51.391532538,,Amprion,SRID=4326;POINT(6.72031000055597 51.3915325380171),,220000,substation,Station Rheinhausen
176,220.0,6.54240844257,51.299445815,50,,SRID=4326;POINT(6.54240844257145 51.2994458149911),,220000;110000,substation,Station Edelstahl Krefeld
177,220.0,13.0786421048,54.2848461697,,50Hertz Transmission GmbH;E.ON edis AG,SRID=4326;POINT(13.0786421047586 54.2848461697305),Lhg,220000;110000,substation,Umspannwerk Lüdershagen
178,220.0,8.02029033798,50.9236168949,50,RWE,SRID=4326;POINT(8.02029033797883 50.9236168949394),,220000,substation,Setzer Wiese
179,220.0,13.9570055476,53.2521716258,,50Hertz Transmission GmbH,SRID=4326;POINT(13.9570055475871 53.252171625753),,380000;220000,substation,Bertikow
180,220.0,14.2708346707,53.0962865536,50,50Hertz Transmission GmbH,SRID=4326;POINT(14.270834670665 53.0962865535819),,220000;110000,substation,Vierraden
