name,b,b_pu,bus0,bus1,capital_cost,g,g_pu,obj,phase_shift,r,r_pu,s_nom,s_nom_extendable,s_nom_max,s_nom_min,s_nom_opt,sub_network,tap_ratio,v_ang_max,v_ang_min,x,x_pu
95,0.0,0.0,95,95_220kV,0.0,0.0,0.0,Transformer 95,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
96,0.0,0.0,96,96_220kV,0.0,0.0,0.0,Transformer 96,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
99,0.0,0.0,99,99_220kV,0.0,0.0,0.0,Transformer 99,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
100,0.0,0.0,100,100_220kV,0.0,0.0,0.0,Transformer 100,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
104,0.0,0.0,104,104_220kV,0.0,0.0,0.0,Transformer 104,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
105,0.0,0.0,105,105_220kV,0.0,0.0,0.0,Transformer 105,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
106,0.0,0.0,106,106_220kV,0.0,0.0,0.0,Transformer 106,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
107,0.0,0.0,107,107_220kV,0.0,0.0,0.0,Transformer 107,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
117,0.0,0.0,117,117_220kV,0.0,0.0,0.0,Transformer 117,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
120,0.0,0.0,120,120_220kV,0.0,0.0,0.0,Transformer 120,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
123,0.0,0.0,123,123_220kV,0.0,0.0,0.0,Transformer 123,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
124,0.0,0.0,124,124_220kV,0.0,0.0,0.0,Transformer 124,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
125,0.0,0.0,125,125_220kV,0.0,0.0,0.0,Transformer 125,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
128,0.0,0.0,128,128_220kV,0.0,0.0,0.0,Transformer 128,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
129,0.0,0.0,129,129_220kV,0.0,0.0,0.0,Transformer 129,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
138,0.0,0.0,138,138_220kV,0.0,0.0,0.0,Transformer 138,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
143,0.0,0.0,143,143_220kV,0.0,0.0,0.0,Transformer 143,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
156,0.0,0.0,156,156_220kV,0.0,0.0,0.0,Transformer 156,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
157,0.0,0.0,157,157_220kV,0.0,0.0,0.0,Transformer 157,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
159,0.0,0.0,159,159_220kV,0.0,0.0,0.0,Transformer 159,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
160,0.0,0.0,160,160_220kV,0.0,0.0,0.0,Transformer 160,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
165,0.0,0.0,165,165_220kV,0.0,0.0,0.0,Transformer 165,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
184,0.0,0.0,184,184_220kV,0.0,0.0,0.0,Transformer 184,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
191,0.0,0.0,191,191_220kV,0.0,0.0,0.0,Transformer 191,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
195,0.0,0.0,195,195_220kV,0.0,0.0,0.0,Transformer 195,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
201,0.0,0.0,201,201_220kV,0.0,0.0,0.0,Transformer 201,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
220,0.0,0.0,220,220_220kV,0.0,0.0,0.0,Transformer 220,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
231,0.0,0.0,231,231_220kV,0.0,0.0,0.0,Transformer 231,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
232,0.0,0.0,232,232_220kV,0.0,0.0,0.0,Transformer 232,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
233,0.0,0.0,233,233_220kV,0.0,0.0,0.0,Transformer 233,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
236,0.0,0.0,236,236_220kV,0.0,0.0,0.0,Transformer 236,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
247,0.0,0.0,247,247_220kV,0.0,0.0,0.0,Transformer 247,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
248,0.0,0.0,248,248_220kV,0.0,0.0,0.0,Transformer 248,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
250,0.0,0.0,250,250_220kV,0.0,0.0,0.0,Transformer 250,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
251,0.0,0.0,251,251_220kV,0.0,0.0,0.0,Transformer 251,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
252,0.0,0.0,252,252_220kV,0.0,0.0,0.0,Transformer 252,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
261,0.0,0.0,261,261_220kV,0.0,0.0,0.0,Transformer 261,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
263,0.0,0.0,263,263_220kV,0.0,0.0,0.0,Transformer 263,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
264,0.0,0.0,264,264_220kV,0.0,0.0,0.0,Transformer 264,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
267,0.0,0.0,267,267_220kV,0.0,0.0,0.0,Transformer 267,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
272,0.0,0.0,272,272_220kV,0.0,0.0,0.0,Transformer 272,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
279,0.0,0.0,279,279_220kV,0.0,0.0,0.0,Transformer 279,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
281,0.0,0.0,281,281_220kV,0.0,0.0,0.0,Transformer 281,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
282,0.0,0.0,282,282_220kV,0.0,0.0,0.0,Transformer 282,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
292,0.0,0.0,292,292_220kV,0.0,0.0,0.0,Transformer 292,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
303,0.0,0.0,303,303_220kV,0.0,0.0,0.0,Transformer 303,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
307,0.0,0.0,307,307_220kV,0.0,0.0,0.0,Transformer 307,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
308,0.0,0.0,308,308_220kV,0.0,0.0,0.0,Transformer 308,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
312,0.0,0.0,312,312_220kV,0.0,0.0,0.0,Transformer 312,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
315,0.0,0.0,315,315_220kV,0.0,0.0,0.0,Transformer 315,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
317,0.0,0.0,317,317_220kV,0.0,0.0,0.0,Transformer 317,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
322,0.0,0.0,322,322_220kV,0.0,0.0,0.0,Transformer 322,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
332,0.0,0.0,332,332_220kV,0.0,0.0,0.0,Transformer 332,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
334,0.0,0.0,334,334_220kV,0.0,0.0,0.0,Transformer 334,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
336,0.0,0.0,336,336_220kV,0.0,0.0,0.0,Transformer 336,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
338,0.0,0.0,338,338_220kV,0.0,0.0,0.0,Transformer 338,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
351,0.0,0.0,351,351_220kV,0.0,0.0,0.0,Transformer 351,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
353,0.0,0.0,353,353_220kV,0.0,0.0,0.0,Transformer 353,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
360,0.0,0.0,360,360_220kV,0.0,0.0,0.0,Transformer 360,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
362,0.0,0.0,362,362_220kV,0.0,0.0,0.0,Transformer 362,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
382,0.0,0.0,382,382_220kV,0.0,0.0,0.0,Transformer 382,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
384,0.0,0.0,384,384_220kV,0.0,0.0,0.0,Transformer 384,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
385,0.0,0.0,385,385_220kV,0.0,0.0,0.0,Transformer 385,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
391,0.0,0.0,391,391_220kV,0.0,0.0,0.0,Transformer 391,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
403,0.0,0.0,403,403_220kV,0.0,0.0,0.0,Transformer 403,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
404,0.0,0.0,404,404_220kV,0.0,0.0,0.0,Transformer 404,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
413,0.0,0.0,413,413_220kV,0.0,0.0,0.0,Transformer 413,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
421,0.0,0.0,421,421_220kV,0.0,0.0,0.0,Transformer 421,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
450,0.0,0.0,450,450_220kV,0.0,0.0,0.0,Transformer 450,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
458,0.0,0.0,458,458_220kV,0.0,0.0,0.0,Transformer 458,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
