transformer_id,symbol,src_bus_id,dst_bus_id,src_voltage,dst_voltage,src_dc,dst_dc,geometry
12459,transformer,4801,4802,220,380,f,f,POINT(9.04174799999998 47.219568)
12460,transformer,6267,6268,220,380,f,f,POINT(-0.714111000000002 40.722283)
12461,transformer,4676,4677,220,380,f,f,POINT(14.523926 46.042736)
12462,transformer,3224,3225,220,300,f,f,POINT(24.521484 53.080827)
12463,transformer,590,591,220,500,f,f,POINT(32.596436 29.916852)
12464,transformer,2840,2841,220,500,f,f,POINT(37.979736 56.084298)
12465,transformer,322,323,220,380,f,f,POINT(5.14160200000001 35.380093)
12466,transformer,5895,5896,220,380,f,f,POINT(-3.625488 41.046217)
12467,transformer,4398,4399,220,380,f,f,POINT(7.94311499999999 45.352145)
12468,transformer,2734,2735,220,300,f,f,POINT(34.628906 64.965416)
12469,transformer,6438,6439,220,300,f,f,POINT(13.765869 66.142743)
12470,transformer,2270,2271,220,380,f,f,POINT(9.75585899999999 54.303704)
12471,transformer,913,914,220,500,f,f,POINT(31.135254 30.902225)
12472,transformer,1315,1316,132,220,f,f,POINT(-4.779053 33.988918)
12473,transformer,6212,6213,220,380,f,f,POINT(-1.04370099999999 41.186922)
12474,transformer,6395,6396,220,380,f,f,POINT(12.524414 41.705729)
12475,transformer,3464,3465,220,300,f,f,POINT(24.169922 50.785102)
12476,transformer,5826,5827,220,380,f,f,POINT(-1.18652299999999 54.552952)
12477,transformer,4458,4459,220,380,f,f,POINT(11.217041 43.723475)
12478,transformer,3182,3183,220,380,f,f,POINT(18.105469 59.170298)
12479,transformer,3373,3374,220,380,f,f,POINT(28.048096 45.352145)
12480,transformer,106,107,220,380,f,f,POINT(15.238037 38.08269)
12481,transformer,4363,4364,220,380,f,f,POINT(18.676758 47.23449)
12482,transformer,2053,2054,220,380,f,f,POINT(7.833252 51.713416)
12483,transformer,682,683,132,380,f,f,POINT(35.068359 29.391748)
12484,transformer,6527,6528,220,500,f,f,POINT(39.155273 51.426614)
12485,transformer,2206,2207,220,380,f,f,POINT(8.97583 50.092393)
12486,ac/dc,3562,3564,220,,f,t,POINT(38.485107 48.43649)
12487,transformer,1011,1012,220,380,f,f,POINT(6.04247999999999 33.26625)
12488,transformer,6517,6518,220,380,f,f,POINT(-1.19751 37.918201)
12489,transformer,1102,1103,220,380,f,f,POINT(-9.14062499999999 38.925229)
12490,transformer,3761,3762,132,220,f,f,POINT(17.666016 43.133061)
12491,transformer,1060,1061,220,380,f,f,POINT(5.28442399999999 36.066862)
12492,transformer,2487,2488,300,380,f,f,POINT(8.085938 60.511343)
12493,transformer,4641,4642,220,380,f,f,POINT(19.500732 45.151053)
12494,ac/dc,3209,3210,380,,f,t,POINT(14.842529 56.176139)
12495,transformer,6412,6413,220,380,f,f,POINT(-1.329346 39.470125)
12496,transformer,1461,1462,220,500,f,f,POINT(52.800293 54.463653)
12497,ac/dc,3167,3168,380,,f,t,POINT(18.017578 60.532968)
12498,transformer,1405,1406,220,380,f,f,POINT(-13.172607 27.186242)
12499,transformer,3887,3888,220,380,f,f,POINT(3.39477499999999 46.942762)
12500,transformer,6626,6627,220,380,f,f,POINT(0.362549000000006 51.501904)
12501,transformer,3853,3854,220,380,f,f,POINT(2.702637 44.824708)
12502,transformer,3992,3993,220,380,f,f,POINT(7.05322299999999 43.786958)
12503,transformer,5708,5709,220,380,f,f,POINT(-1.230469 53.742214)
12504,transformer,5546,5547,220,380,f,f,POINT(-3.41674800000001 55.72711)
12505,transformer,3879,3880,220,380,f,f,POINT(3.26293899999999 45.79817)
12506,transformer,3,4,132,380,f,f,POINT(35.046387 32.500496)
12507,transformer,4153,4154,220,380,f,f,POINT(2.28515599999999 49.965356)
12508,transformer,4068,4069,220,380,f,f,POINT(2.62573200000001 47.768868)
12509,transformer,4278,4279,220,380,f,f,POINT(4.504395 49.866317)
12510,transformer,4452,4453,220,380,f,f,POINT(11.107178 45.104546)
12511,transformer,364,365,132,220,f,f,POINT(22.093506 26.912274)
12512,transformer,1881,1883,132,380,f,f,POINT(11.964111 55.447711)
12513,transformer,2151,2152,220,380,f,f,POINT(9.34936500000001 49.030665)
12514,transformer,6182,6183,220,500,f,f,POINT(43.813477 55.447711)
12515,transformer,1759,1761,132,380,f,f,POINT(9.29443400000001 55.072078)
12516,transformer,3259,3260,132,300,f,f,POINT(31.190186 52.342052)
12517,transformer,3330,3331,220,380,f,f,POINT(22.005615 45.305803)
12518,transformer,2065,2066,220,380,f,f,POINT(7.15209999999999 50.785102)
12519,transformer,2081,2082,220,380,f,f,POINT(7.28393599999999 51.406059)
12520,transformer,2572,2573,300,380,f,f,POINT(6.15234400000001 60.505935)
12521,transformer,3399,3400,220,380,f,f,POINT(22.994385 45.836454)
12522,transformer,80,81,132,380,f,f,POINT(23.983154 37.753344)
12523,transformer,530,531,132,220,f,f,POINT(23.983154 32.054645)
12524,transformer,3321,3322,132,380,f,f,POINT(28.432617 45.752193)
12525,transformer,2675,2676,220,380,f,f,POINT(18.775635 53.47497)
12526,transformer,1156,1157,220,380,f,f,POINT(-4.647217 36.879621)
12527,transformer,5601,5602,220,380,f,f,POINT(-2.44995100000001 55.973798)
12528,transformer,985,986,220,380,f,f,POINT(2.296143 36.332828)
12529,transformer,3733,3734,132,220,f,f,POINT(18.391113 42.70666)
12530,transformer,2109,2110,220,380,f,f,POINT(8.283691 52.342052)
12531,transformer,850,851,220,500,f,f,POINT(30.860596 30.600094)
12532,transformer,1848,1849,220,380,f,f,POINT(12.315674 55.671389)
12533,transformer,6521,6522,220,380,f,f,POINT(-8.393555 41.112469)
12534,transformer,1778,1779,132,380,f,f,POINT(8.624268 56.316537)
12535,transformer,6097,6098,220,380,f,f,POINT(0.791015999999999 41.409776)
12536,transformer,1457,1458,220,500,f,f,POINT(49.801025 53.768196)
12537,transformer,5199,5200,132,220,f,f,POINT(-15.172119 64.914228)
12538,transformer,6024,6025,220,380,f,f,POINT(-0.164794999999993 49.081062)
12539,transformer,6162,6164,300,750,f,f,POINT(33.145752 53.975474)
12540,transformer,5403,5404,220,380,f,f,POINT(-6.75659199999999 42.642041)
12541,transformer,1400,1401,132,220,f,f,POINT(-11.337891 28.468691)
12542,transformer,4412,4413,220,380,f,f,POINT(8.85498 44.684277)
12543,transformer,6162,6163,300,500,f,f,POINT(33.145752 53.975474)
12544,transformer,2743,2744,220,300,f,f,POINT(33.903809 61.944118)
12545,transformer,376,377,220,380,f,f,POINT(21.610107 27.595935)
12546,transformer,3562,3563,220,300,f,f,POINT(38.485107 48.43649)
12547,transformer,2706,2707,220,380,f,f,POINT(19.852295 49.958288)
12548,transformer,4314,4315,220,380,f,f,POINT(1.86767600000001 48.741701)
12549,transformer,4422,4423,220,380,f,f,POINT(9.360352 45.406164)
12550,transformer,934,935,220,500,f,f,POINT(30.421143 31.372399)
12551,transformer,444,445,132,380,f,f,POINT(9.7229 37.020098)
12552,transformer,6358,6359,220,380,f,f,POINT(6.932373 53.324312)
12553,transformer,427,428,132,220,f,f,POINT(10.50293 36.606709)
12554,transformer,6345,6346,220,380,f,f,POINT(-0.802002000000004 37.605528)
12555,transformer,3445,3446,220,380,f,f,POINT(22.785645 48.429201)
12556,transformer,4539,4540,220,380,f,f,POINT(12.183838 45.367584)
12557,transformer,2165,2166,220,380,f,f,POINT(10.777588 48.312428)
12558,transformer,6547,6548,300,500,f,f,POINT(44.626465 43.173135)
12559,transformer,4180,4181,220,380,f,f,POINT(3.35082999999999 50.317408)
12560,transformer,5191,5192,132,220,f,f,POINT(-21.049805 64.081805)
12561,transformer,4522,4523,220,380,f,f,POINT(13.568115 42.843751)
12562,transformer,2186,2187,220,380,f,f,POINT(13.040771 48.676454)
12563,transformer,6216,6217,220,500,f,f,POINT(44.813232 48.158757)
12564,transformer,3733,3735,132,380,f,f,POINT(18.391113 42.70666)
12565,transformer,4416,4417,220,380,f,f,POINT(9.810791 44.142798)
12566,transformer,4220,4221,220,380,f,f,POINT(5.84472700000001 49.37522)
12567,transformer,3669,3670,220,380,f,f,POINT(16.402588 48.319734)
12568,transformer,4617,4618,220,380,f,f,POINT(19.6875 44.024422)
12569,transformer,2773,2774,300,500,f,f,POINT(40.155029 46.073231)
12570,transformer,3269,3270,220,380,f,f,POINT(26.05957 42.415346)
12571,transformer,4526,4527,220,380,f,f,POINT(13.469238 42.504503)
12572,transformer,6628,6629,132,380,f,f,POINT(35.310059 31.886887)
12573,transformer,3427,3428,300,380,f,f,POINT(24.521484 49.260635)
12574,transformer,6604,6605,220,380,f,f,POINT(14.523926 40.971604)
12575,transformer,2842,2843,220,500,f,f,POINT(38.232422 55.856817)
12576,transformer,3756,3757,220,380,f,f,POINT(19.390869 43.723475)
12577,transformer,2913,2914,220,500,f,f,POINT(35.013428 56.279961)
12578,transformer,6071,6072,220,380,f,f,POINT(45.043945 53.324312)
12579,transformer,2913,2915,220,750,f,f,POINT(35.013428 56.279961)
12580,transformer,269,270,220,380,f,f,POINT(8.23974600000001 36.712467)
12581,transformer,1279,1280,132,380,f,f,POINT(-9.250488 32.240683)
12582,transformer,2297,2298,220,380,f,f,POINT(12.030029 49.346599)
12583,transformer,6531,6532,220,380,f,f,POINT(-8.63525400000001 40.75558)
12584,transformer,2797,2799,220,750,f,f,POINT(34.28833 53.225768)
12585,transformer,1014,1015,220,380,f,f,POINT(6.635742 33.431441)
12586,transformer,2019,2020,220,380,f,f,POINT(7.58056600000001 50.324423)
12587,transformer,2342,2344,132,380,f,f,POINT(12.271729 54.065836)
12588,transformer,290,291,220,380,f,f,POINT(36.112061 33.541395)
12589,transformer,1744,1745,220,380,f,f,POINT(17.53418 49.453843)
12590,transformer,1719,1720,220,380,f,f,POINT(13.282471 49.61071)
12591,transformer,2013,2014,220,380,f,f,POINT(6.943359 49.389524)
12592,transformer,882,883,220,500,f,f,POINT(32.036133 30.164126)
12593,transformer,1543,1544,220,500,f,f,POINT(58.963623 53.917281)
12594,transformer,5762,5763,220,380,f,f,POINT(14.18335 41.302571)
12595,transformer,1728,1729,220,380,f,f,POINT(13.875732 50.583237)
12596,transformer,542,543,220,380,f,f,POINT(13.370361 32.851903)
12597,transformer,2282,2283,220,380,f,f,POINT(11.744385 52.227799)
12598,transformer,2027,2028,220,380,f,f,POINT(8.349609 50.035974)
12599,transformer,3930,3931,220,380,f,f,POINT(4.49340799999999 46.672056)
12600,ac/dc,5581,5582,220,,f,t,POINT(-4.943848 55.072078)
12601,transformer,5225,5226,220,380,f,f,POINT(-2.80151400000001 48.429201)
12602,transformer,2225,2226,220,380,f,f,POINT(8.95385700000001 51.98488)
12603,transformer,515,517,132,380,f,f,POINT(11.151123 31.952162)
12604,transformer,3367,3368,220,380,f,f,POINT(26.872559 46.263443)
12605,transformer,4633,4634,220,380,f,f,POINT(20.126953 44.590467)
12606,transformer,5311,5312,220,380,f,f,POINT(-6.52587899999999 42.4802)
12607,transformer,2559,2560,300,380,f,f,POINT(11.184082 59.316375)
12608,transformer,3453,3454,220,300,f,f,POINT(23.939209 49.93708)
12609,transformer,2717,2718,220,300,f,f,POINT(31.948242 54.788017)
12610,ac/dc,5617,5618,220,,f,t,POINT(-5.73486299999999 54.813348)
12611,transformer,5429,5430,220,380,f,f,POINT(-2.10937499999999 43.237199)
12612,transformer,6434,6435,220,380,f,f,POINT(0.274658000000005 51.406059)
12613,transformer,3552,3554,300,750,f,f,POINT(38.012695 48.57479)
12614,transformer,2865,2866,220,300,f,f,POINT(33.914795 62.456487)
12615,transformer,1805,1806,132,380,f,f,POINT(10.041504 55.986092)
12616,transformer,6422,6423,220,380,f,f,POINT(-0.0439449999999986 35.701917)
12617,transformer,1441,1442,220,500,f,f,POINT(52.141113 55.435247)
12618,transformer,4020,4021,220,380,f,f,POINT(6.591797 45.18978)
12619,transformer,2463,2464,300,380,f,f,POINT(7.338867 61.206798)
12620,transformer,1295,1296,220,380,f,f,POINT(-2.19726599999999 31.428663)
12621,transformer,1206,1207,220,380,f,f,POINT(-6.75659199999999 37.134045)
12622,transformer,667,668,220,380,f,f,POINT(42.121582 36.949892)
12623,transformer,1311,1312,132,220,f,f,POINT(-5.66894500000001 32.925707)
12624,transformer,576,577,220,500,f,f,POINT(32.299805 25.99755)
12625,transformer,637,638,220,380,f,f,POINT(36.320801 33.26625)
12626,transformer,1847,1849,132,380,f,f,POINT(12.315674 55.671389)
12627,transformer,1862,1863,132,380,f,f,POINT(9.83276399999998 56.878999)
12628,transformer,1568,1569,220,500,f,f,POINT(54.997559 54.335744)
12629,transformer,5798,5799,220,380,f,f,POINT(-0.571288999999998 43.34116)
12630,transformer,2648,2649,220,380,f,f,POINT(20.324707 50.819818)
12631,transformer,2345,2346,220,380,f,f,POINT(12.205811 53.761702)
12632,transformer,2059,2060,220,380,f,f,POINT(6.987305 51.048301)
12633,transformer,4678,4679,220,380,f,f,POINT(14.139404 45.759859)
12634,transformer,534,535,220,380,f,f,POINT(12.974854 32.824211)
12635,transformer,2770,2771,300,500,f,f,POINT(41.781006 45.220743)
12636,transformer,2197,2198,220,380,f,f,POINT(8.800049 49.930008)
12637,transformer,1387,1388,132,220,f,f,POINT(-6.55883800000001 34.288992)
12638,transformer,420,421,132,220,f,f,POINT(10.678711 35.782171)
12639,transformer,6387,6388,220,380,f,f,POINT(27.026367 66.328685)
12640,transformer,3999,4000,220,380,f,f,POINT(5.95458999999999 45.383019)
12641,transformer,6198,6199,220,380,f,f,POINT(-0.0219729999999886 51.740636)
12642,transformer,690,691,132,380,f,f,POINT(36.079102 31.896214)
12643,transformer,2045,2046,220,380,f,f,POINT(6.580811 51.248163)
12644,transformer,122,123,132,220,f,f,POINT(3.19702100000001 39.588757)
12645,transformer,1716,1717,220,380,f,f,POINT(13.271484 50.268277)
12646,transformer,480,482,220,500,f,f,POINT(34.793701 29.602118)
12647,transformer,4182,4183,220,380,f,f,POINT(3.087158 50.50644)
12648,transformer,3594,3595,220,300,f,f,POINT(33.596191 46.860191)
12649,transformer,1221,1222,220,380,f,f,POINT(-4.53735399999999 38.608286)
12650,transformer,1444,1445,220,500,f,f,POINT(48.197021 56.139429)
12651,transformer,3976,3977,220,380,f,f,POINT(6.07543900000001 43.317185)
12652,transformer,3955,3956,220,380,f,f,POINT(4.76806599999999 46.581518)
12653,transformer,3703,3704,220,380,f,f,POINT(5.701904 49.624946)
12654,transformer,6289,6290,220,380,f,f,POINT(-4.65820300000001 39.935013)
12655,transformer,5297,5298,220,380,f,f,POINT(-7.36083999999999 42.30169)
12656,transformer,3217,3218,220,300,f,f,POINT(28.850098 53.343993)
12657,transformer,4463,4464,220,380,f,f,POINT(11.25 45.437008)
12658,transformer,86,87,220,380,f,f,POINT(9.18456999999999 39.376772)
12659,transformer,1187,1188,220,380,f,f,POINT(-2.58178700000001 39.825413)
12660,transformer,5874,5875,132,220,f,f,POINT(61.842041 54.091617)
12661,transformer,1551,1552,220,500,f,f,POINT(56.195068 56.14555)
12662,transformer,1881,1882,132,220,f,f,POINT(11.964111 55.447711)
12663,transformer,2708,2709,300,750,f,f,POINT(34.892578 57.710017)
12664,transformer,3008,3009,300,750,f,f,POINT(30.27832 59.584414)
12665,transformer,4942,4943,220,380,f,f,POINT(8.272705 47.480088)
12666,transformer,2772,2774,220,500,f,f,POINT(40.155029 46.073231)
12667,transformer,5769,5770,220,380,f,f,POINT(0.867919999999991 49.317961)
12668,transformer,2878,2880,220,750,f,f,POINT(38.364258 59.265881)
12669,transformer,2427,2428,300,750,f,f,POINT(26.444092 55.565922)
12670,transformer,785,786,220,380,f,f,POINT(35.958252 33.815666)
12671,transformer,5341,5342,220,380,f,f,POINT(-3.29589800000001 43.133061)
12672,transformer,3495,3496,300,750,f,f,POINT(33.980713 48.370848)
12673,transformer,2038,2039,220,380,f,f,POINT(6.679688 50.993014)
12674,transformer,6578,6579,220,380,f,f,POINT(2.340088 42.024814)
12675,transformer,5407,5408,220,380,f,f,POINT(-2.28515599999999 42.171546)
12676,transformer,4389,4390,220,380,f,f,POINT(7.64648399999999 45.344424)
12677,transformer,1847,1848,132,220,f,f,POINT(12.315674 55.671389)
12678,transformer,13,14,132,380,f,f,POINT(34.760742 31.147006)
12679,transformer,5235,5236,220,380,f,f,POINT(-1.53808599999999 48.092757)
12680,transformer,4015,4016,220,380,f,f,POINT(6.04247999999999 45.460131)
12681,transformer,412,413,132,220,f,f,POINT(9.61303700000001 34.615127)
12682,transformer,1439,1440,220,500,f,f,POINT(49.394531 55.992237)
12683,transformer,4475,4476,220,380,f,f,POINT(8.90991200000001 45.73686)
12684,transformer,1645,1646,220,500,f,f,POINT(64.610596 55.078367)
12685,transformer,4516,4517,220,380,f,f,POINT(12.612305 42.55308)
12686,transformer,3298,3299,220,380,f,f,POINT(24.488525 42.09007)
12687,transformer,530,533,132,500,f,f,POINT(23.983154 32.054645)
12688,transformer,5875,5876,220,500,f,f,POINT(61.842041 54.091617)
12689,transformer,2540,2541,300,380,f,f,POINT(9.59106399999999 59.28272)
12690,transformer,1473,1474,220,500,f,f,POINT(54.162598 56.752723)
12691,transformer,635,636,220,380,f,f,POINT(36.77124 33.806538)
12692,transformer,5178,5179,132,220,f,f,POINT(-21.719971 64.086607)
12693,transformer,1836,1837,132,380,f,f,POINT(12.23877 55.764213)
12694,transformer,3959,3960,220,380,f,f,POINT(5.85571300000001 43.683764)
12695,ac/dc,6572,6574,220,,f,t,POINT(44.824219 48.785152)
12696,transformer,3468,3469,220,300,f,f,POINT(24.56543 51.261915)
12697,transformer,1422,1423,220,380,f,f,POINT(-8.624268 32.082575)
12698,transformer,4551,4552,220,380,f,f,POINT(13.469238 45.79817)
12699,transformer,6638,6639,220,380,f,f,POINT(-0.977783000000002 47.967859)
12700,transformer,500,501,220,380,f,f,POINT(12.678223 32.676373)
12701,transformer,2007,2008,220,380,f,f,POINT(8.20678699999999 47.650588)
12702,transformer,4826,4827,220,380,f,f,POINT(9.52514600000001 47.41322)
12703,transformer,405,406,220,380,f,f,POINT(9.602051 35.826721)
12704,transformer,5349,5350,220,380,f,f,POINT(-3.83422899999999 43.277205)
12705,transformer,1229,1230,220,380,f,f,POINT(-6.73461900000001 39.044786)
12706,transformer,6321,6322,220,380,f,f,POINT(8.63525400000001 40.647304)
12707,transformer,4012,4013,220,380,f,f,POINT(5.306396 45.844108)
12708,transformer,4204,4205,220,380,f,f,POINT(6.08642599999999 48.821333)
12709,transformer,477,478,220,380,f,f,POINT(8.756104 36.474307)
12710,transformer,6287,6288,220,380,f,f,POINT(-1.010742 37.596824)
12711,transformer,2524,2525,300,380,f,f,POINT(8.10791000000001 58.245946)
12712,transformer,3274,3275,220,380,f,f,POINT(24.213867 43.253205)
12713,transformer,6568,6569,220,380,f,f,POINT(-0.90087900000001 35.092945)
12714,transformer,2889,2890,220,500,f,f,POINT(36.936035 55.875311)
12715,transformer,3170,3171,220,380,f,f,POINT(18.237305 59.96051)
12716,transformer,5597,5598,220,380,f,f,POINT(-3.010254 55.788929)
12717,transformer,4713,4714,220,380,f,f,POINT(7.558594 46.339343)
12718,transformer,4696,4697,220,380,f,f,POINT(9.39331099999999 46.972756)
12719,transformer,1219,1220,220,380,f,f,POINT(-6.83349599999999 38.099983)
12720,transformer,1234,1235,220,380,f,f,POINT(-5.51513699999999 37.788081)
12721,transformer,5867,5868,300,750,f,f,POINT(28.037109 53.729217)
12722,transformer,530,532,132,380,f,f,POINT(23.983154 32.054645)
12723,transformer,2591,2592,220,380,f,f,POINT(14.831543 53.330873)
12724,transformer,1739,1740,220,380,f,f,POINT(15.281982 50.597186)
12725,transformer,585,586,132,220,f,f,POINT(32.728271 26.115986)
12726,transformer,4383,4384,220,380,f,f,POINT(7.66845700000001 44.824708)
12727,transformer,6375,6376,220,380,f,f,POINT(-6.39404299999999 41.228249)
12728,transformer,4339,4340,220,380,f,f,POINT(17.786865 47.650588)
12729,transformer,4707,4708,220,380,f,f,POINT(7.03125 46.331758)
12730,transformer,6495,6496,220,380,f,f,POINT(0.692138999999992 35.451721)
12731,transformer,6340,6341,220,380,f,f,POINT(-0.494385000000006 44.957024)
12732,transformer,4231,4232,220,380,f,f,POINT(7.41577099999999 47.643186)
12733,transformer,3109,3110,220,380,f,f,POINT(17.039795 60.624713)
12734,transformer,5551,5552,220,380,f,f,POINT(-1.42822300000001 52.442618)
12735,transformer,1930,1931,220,380,f,f,POINT(24.290771 62.975198)
12736,transformer,4097,4098,220,380,f,f,POINT(2.27417000000001 49.246293)
12737,transformer,3584,3585,220,500,f,f,POINT(38.814697 48.363549)
12738,transformer,1227,1228,220,380,f,f,POINT(-5.16357399999999 36.659606)
12739,transformer,2040,2041,220,380,f,f,POINT(6.37207 51.220647)
12740,transformer,676,677,132,380,f,f,POINT(36.013184 31.222197)
12741,transformer,4358,4359,132,220,f,f,POINT(20.214844 46.202646)
12742,transformer,3653,3654,220,380,f,f,POINT(14.512939 46.566414)
12743,transformer,5319,5320,220,380,f,f,POINT(-4.42749 42.577355)
12744,transformer,4442,4443,220,380,f,f,POINT(11.019287 43.810747)
12745,transformer,3244,3245,300,750,f,f,POINT(28.201904 53.140181)
12746,transformer,657,658,220,380,f,f,POINT(38.17749 36.377068)
12747,transformer,2800,2801,300,500,f,f,POINT(37.749023 51.385495)
12748,transformer,335,336,220,380,f,f,POINT(5.888672 31.625321)
12749,transformer,5395,5396,220,380,f,f,POINT(-3.20800799999999 42.787339)
12750,transformer,4263,4264,220,380,f,f,POINT(4.603271 43.850374)
12751,transformer,1793,1794,132,380,f,f,POINT(9.22851599999999 55.936895)
12752,transformer,2754,2756,220,500,f,f,POINT(39.946289 47.457809)
12753,transformer,4057,4058,220,380,f,f,POINT(1.955566 47.813155)
12754,transformer,2672,2673,220,380,f,f,POINT(20.55542 53.781181)
12755,transformer,2467,2468,300,380,f,f,POINT(7.21801800000001 60.951777)
12756,transformer,581,582,132,220,f,f,POINT(32.937012 23.885838)
12757,transformer,5357,5358,220,380,f,f,POINT(-2.779541 42.85986)
12758,transformer,1760,1761,220,380,f,f,POINT(9.29443400000001 55.072078)
12759,transformer,3578,3579,220,500,f,f,POINT(39.506836 48.246626)
12760,transformer,3433,3434,300,750,f,f,POINT(25.795898 51.275662)
12761,transformer,2821,2822,220,500,f,f,POINT(41.077881 57.692406)
12762,transformer,5599,5600,220,380,f,f,POINT(-2.68066399999999 55.899956)
12763,transformer,6191,6192,220,380,f,f,POINT(-0.461426000000012 41.310824)
12764,transformer,5359,5360,220,380,f,f,POINT(-2.438965 43.052834)
12765,transformer,2738,2739,300,380,f,f,POINT(29.003906 60.775255)
12766,transformer,2850,2851,220,300,f,f,POINT(36.826172 56.577641)
12767,transformer,1271,1272,132,380,f,f,POINT(-6.185303 34.985003)
12768,transformer,1690,1691,220,500,f,f,POINT(61.655273 54.495568)
12769,transformer,1313,1314,132,220,f,f,POINT(-4.14184599999999 34.270836)
12770,transformer,1322,1323,220,380,f,f,POINT(-7.40478500000001 33.449777)
12771,transformer,6648,6649,220,380,f,f,POINT(18.874512 43.189158)
12772,transformer,3365,3366,380,750,f,f,POINT(28.443604 45.236218)
12773,transformer,1574,1575,220,500,f,f,POINT(55.843506 54.914514)
12774,transformer,2071,2072,220,380,f,f,POINT(6.855469 51.460852)
12775,transformer,2111,2112,220,380,f,f,POINT(7.67944299999999 51.978113)
12776,transformer,1924,1925,220,380,f,f,POINT(26.05957 64.965416)
12777,transformer,4835,4836,132,300,f,f,POINT(26.004639 57.920683)
12778,transformer,6314,6315,220,380,f,f,POINT(-0.747069999999996 39.67337)
12779,transformer,2798,2799,500,750,f,f,POINT(34.28833 53.225768)
12780,transformer,3646,3647,220,380,f,f,POINT(11.843262 47.331377)
12781,transformer,2808,2809,220,500,f,f,POINT(42.626953 50.687758)
12782,transformer,2426,2427,132,300,f,f,POINT(26.444092 55.565922)
12783,transformer,4647,4648,220,380,f,f,POINT(20.698242 44.777936)
12784,transformer,1394,1395,220,380,f,f,POINT(-8.657227 32.99945)
12785,transformer,1545,1546,220,500,f,f,POINT(59.4360349999999 53.566414)
12786,transformer,2608,2609,220,380,f,f,POINT(18.07251 53.199452)
12787,transformer,4772,4773,220,380,f,f,POINT(8.800049 46.399988)
12788,transformer,3263,3264,220,300,f,f,POINT(25.125732 52.422523)
12789,transformer,1633,1634,220,500,f,f,POINT(57.854004 51.392351)
12790,transformer,1327,1328,132,220,f,f,POINT(-3.95507800000001 34.270836)
12791,transformer,5721,5722,300,380,f,f,POINT(29.750977 46.619261)
12792,transformer,3018,3019,220,500,f,f,POINT(39.287109 44.182204)
12793,transformer,267,268,220,380,f,f,POINT(5.28442399999999 35.85344)
12794,transformer,425,426,132,220,f,f,POINT(10.601807 36.447799)
12795,transformer,3421,3422,220,380,f,f,POINT(22.598877 44.762337)
12796,transformer,440,441,132,220,f,f,POINT(10.546875 35.737595)
12797,transformer,1839,1840,132,380,f,f,POINT(11.887207 55.819802)
12798,transformer,4977,4978,220,380,f,f,POINT(20.533447 52.261434)
12799,transformer,532,533,380,500,f,f,POINT(23.983154 32.054645)
12800,transformer,5496,5497,220,380,f,f,POINT(-3.94409200000001 55.621793)
12801,transformer,5522,5523,220,380,f,f,POINT(-1.94458 52.22107)
12802,transformer,1243,1244,220,380,f,f,POINT(-2.76855499999999 37.028869)
12803,transformer,2538,2539,300,380,f,f,POINT(10.283203 59.888937)
12804,transformer,5726,5727,300,500,f,f,POINT(44.033203 44.902578)
12805,transformer,2980,2981,220,300,f,f,POINT(39.16626 47.606163)
12806,transformer,5061,5062,220,500,f,f,POINT(38.95752 51.282535)
12807,transformer,3336,3337,220,380,f,f,POINT(21.412354 46.17983)
12808,transformer,1932,1933,220,380,f,f,POINT(22.631836 62.789912)
