Name;Converter;Converter2;Total Length (Cable/Pole);Volt (kV);Power (MW);Year;Type;Remarks;Ref
Caithness Moray HVDC3;UK - Spittal;UK - Blackhillock;160;320;1200;2018;;Supplier: ABB;[82][83]
ÅL-link;Åland - Ytterby;Finland - Naantali (sv:Nådendal) 60.27_49_N 22.03_49_E;158;80;100;2015;IGBT;Supplier: ABB;[53][54][55]
;;;(158/0);;;;;;
Western Isles HVDC;UK - Arnish Point near Stornoway;UK - Beauly;156;320;600;20217;;;[111]
Konti-Skan 2;Denmark - Vester, Hassing 57.3_46_N 10.5_24_E;Sweden - Lindome 57.36_24_N 12.6_40_E;147;285;300;1988;Thyr;Supplier: ABB;
;;;(87/60);;;;;;
Nemo Link;Belgium - near Bruges;UK - Richborough Energy Park;140;400;1000;2019;IGBT;Converter stations: Siemens , cables: J-power systems [92];[93][94]
;;;(140/0);;;;;;
DolWin2;Germany - Heede 52.58_52_N 7.15_26_E;Germany - DolWin Beta platform 53.58_41_N 6.55_23_E;135;±320;900;2016;IGBT;Supplier: ABB;[75]
;;;(135/0);;;;;;
East West Interconnector;Ireland - Woodland 53.28_16_N 6.34_3_W;UK - Shotton, Wales 53.13_38_N 3.4_22_W;130;±200;500;2012;IGBT;Supplier: ABB;[49]
;;;(130/0);;;;;;
HelWin1;Germany - Büttel 53.55_01_N 9.13_55_E;Germany - HelWin Alpha platform 54.27_07_N 7.44_20_E;130;±250;576;2015;IGBT;Supplier: Siemens;[58]
;;;(130/0);;;;;;
HelWin2;Germany - Büttel 53.55_01_N 9.13_55_E;Germany - HelWin Beta platform 54.27_11_N 7.44_20_E;130;±320;690;2015;IGBT;Supplier: Siemens;
;;;(130/0);;;;;;
Elbe-Project;Germany, Vockerode 51.50_40_N 12.21_50_E;Germany - Berlin, Marienfelde 52.25_49_N 13.22_42_E;115;200;60;1945;Merc;Never placed in service;
;;;(115/0);;;;;Dismantled;
Kingsnorth;UK - Kingsnorth;UK - London-Willesden 51.32_03_N 0.15_29_W;111;266;320;1975;Merc;Opposite pole of Kingsnorth - Beddington. Cable wholly underground except for Thames crossing - crossed on upstream side of Putney District line railway bridge;
;;;(111/0);;;;;;
Estlink;Estonia - Harku 59.23_5_N 24.33_37_E;Finland - Espoo 60.12_14_N 24.33_06_E;105;150;350;2006;IGBT;Supplier: ABB;[38]
;;;(105/0);;;;;;
Moscow–Kashira;Russia - Moscow 55.39_32_N 37.38_16_E;Russia - Kashira;100;200;30;1951;Merc;Built of parts of HVDC Elbe-Project;[1]
;;;(100/0);;;;;Shut down;
ALEGrO;Belgium - Visé;Germany - Aachen;100;320;1000;2019-205;IGBT;;[95]
;;;(100/0);;;;;;
Gotland 2;Sweden - Västervik 57.43_41_N 16.38_51_E;Sweden - Yigne 57.35_13_N 18.11_44_E;99.5;150;130;1983;Thyr;;
;;;(92.9/6.6);;;;;;
Gotland 1;Sweden - Västervik 57.43_41_N 16.38_51_E;Sweden - Yigne 57.35_13_N 18.11_44_E;98;200;20;1954;Merc;World's first commercial HVDC link. Expanded by ABBin 1970, decommissioned in 1986;[1][30]
;;;(98/0);;;;;;
Gotland 3;Sweden - Västervik 57.43_41_N 16.38_51_E;Sweden - Yigne 57.35_13_N 18.11_44_E;98;150;130;1987;Thyr;;
;;;(98/0);;;;;;
Kingsnorth;UK - Kingsnorth 51.25_11_N 0.35_46_E;UK - London-Beddington 51.22_23_N 0.7_38_W;85;266;320;1975;Merc;Bipolar scheme;[31]
;;;(85/0);;;;;Supplier: English Electric Shut down in 1987;
Interconnexion France Angleterre(new);France - Les Mandarins 50.54_11_N 1.47_5_E;UK - Sellindge 51.6_21_N 0.58_32_E;72;270;2000;1986;Thyr;2 bipolar systems;[1][35]
;;;(72/0);;;;;Supplier: Alstom;
Visby-Nas;Sweden - Nas 57.05_58_N 18.14_27_E;Sweden - Visby 57.37_29_N 18.21_18_E;70;80;50;1999;Thyr;;
;;;(70/0);;;;;;
HVDC Troll;Norway - Kollsnes 60.33_01_N 4.50_26_E;Norway - Offshore platform Troll A 60.40_00_N 3.40_00_E;70;60;80;2004;IGBT;Power supply for offshore gas compressor;[38]
;;;(70/0);;;;;Supplier: ABB;
Troll A 3&4;Norway - Kollsnes;Norway - Troll A 3&4 platform;70;66;100;2015;IGBT;Supplier: ABB;[69][70][71][72][73][74]
;;;(70/0);;;;;;
ElecLink;France - Les Mandarins;UK - Sellindge;70;320;1000;2019;;;[87]
Cross-Channel;France - Echingen 50.41_48_N 1.38_21_E;UK - Lydd 50.54_54_N 0.56_50_E;64;100;160;1961;Merc;Shut down in 1984;[1]
;;;(64/0);;;;;;
INELEF;France - Baixas 42.43_56_N 2.48_14_E;Spain - Santa Llogaia 42.13_59_N 2.56_39_E;64;±320;2000;2015;IGBT;Supplier: Siemens, Cables: Prysmian;[59]
;;;(64/0);;;;;;[60][61]
Moyle;UK - Auchencrosh 55.04_10_N 4.58_50_W;UK - N. Ireland- Ballycronan More 54.50_34_N 5.46_11_W;63.5;250;2501;2001;Thyr;Supplier: Siemens, Nexans;[37]
;;;(63.5/0);;;;;;
Miesbach-Munich Power Transmission;Germany - Miesbach;Germany - Munich;58;2;0.0025;1882;Single machine;Demonstration facility;
;;;(0/58);;;;;Dismantled;
StoreBælt;Denmark - Fraugde 55.22_01_N 10.30_25_E;Denmark - Herslev 55.31_53_N 11.19_01_E;56;400;600;2010;Thyr;Operational since August 2010. Supplier:Siemens;[38]
;;;(56/0);;;;;;
HVDC Trollhattan-Merud;Sweden - Trollhattan;Sweden - Merud;50;45;6.5;1946;Merc;Experimental facility built by ASEA;
;;;(0/50);;;;;Dismantled;
HVDC Zurich-Wettingen;Switzerland - Wettingen 47.27_25_N 8.19_15_E;Switzerland - Zurich;20;50;0.5;1939;Merc;Experimental facility built by BBC;
;;;(0/20);;;;;Dismantled;
Hellsjön-Grängesberg;Sweden - Hellsjön 60.02_50_N 15.08_52_E;Sweden - Grängesberg 60.03_53_N 14.59_39_E;10;180;3;1997;IGBT;Experimental HVDC;
;;;(0/10);;;;;Supplier: ABB;
HVDC Charlottenburg-Moabit;Germany - Berlin-Moabit;Germany - Berlin-Charlottenburg;4.6;100;14;1942;Merc;Experimental facility built by Siemens;
;;;(0/4.6);;;;;Dismantled in 1945;
Tjæreborg;Denmark - Tjæreborg/Enge 55.26_52_N 8.35_34_E;Denmark - Tjæreborg/Substation 55.28_07_N 8.33_36_E;4.3;9;7;2000;IGBT;Interconnection to wind power generating stations;
;;;(4.3/0);;;;;;
Gorzente River - Genoa DC transmission scheme;Italy - Gorzente River;Italy - Genoa; ?;6; ?;1889;Thury;Upgraded later to a voltage of 14 kV, power of 2.5 MW and a length of 120 km;
;;;;;;;;Dismantled;
La Chaux-de-Fonds DC transmission scheme;Switzerland - ?;Switzerland - ?; ?;14; ?;1897;Thury;Dismantled;
St. Maurice - Lausanne DC transmission scheme;Switzerland - St. Maurice;Switzerland - Lausanne; ?;22;3.7;1899;Thury;Dismantled;
Wilesden-Ironbridge DC transmission scheme;UK - Wilesden;UK - Ironbridge; ?;100; ?;1910;Thury;Dismantled;
Chambéry DC transmission scheme;France - ?;France - ?; ?;150; ?;1925;Thury;Dismantled in 1937;
Lehrte-Misburg HVDC;Germany - Lehrte 52.22_54_N 9.55_03_E;Germany - Hannover/Misburg; ?;80;16;1944;Merc;Experimental facility;
;;;;;;;;Dismantled;
FAB Link;France - Menuel on Cherbourg Peninsula;UK - Exeter via Alderney;;;1000/1400;2021;;;[106][107]
