id,Carma,Fias,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
21,Ffestiniog,Ffestiniog,Ffestiniog Wales,Ffestiniog,United Kingdom,Hydro,Pumped Storage,360.0,52.8070379769,-3.89362443743,energy_storage_exchange / UK Power Plant.csv
22,Dinorwig,Dinorwig,Dinorwig,Dinorwig,United Kingdom,Hydro,Pumped Storage,1728.0,52.9205433462,-4.0555681206,energy_storage_exchange / UK Power Plant.csv
23,Koepchenwerk,Herdecke,Koepchenwerk Herdecke,Koepchenwerk,Germany,Hydro,Pumped Storage,154.0,51.43174465,7.44140155,energy_storage_exchange / Germany Power Plants (conventional).csv
24,Ronkhausen,Rönkhausen,Rönkhausen,Pumpspeicherwerk RöNkhausen,Germany,Hydro,Pumped Storage,140.0,51.19606455,7.975633975,energy_storage_exchange / Germany Power Plants (conventional).csv
25,Vittjarv,Vittjärv,Vittjarv,Vittjarv,Sweden,Hydro,Run-of-river,30.0,65.8473516667,21.5581045667,Sweden Power Plant.csv
26,Erzhausen,Erzhausen,Erzhausen,Erzhausen,Germany,Hydro,Pumped Storage,220.0,51.8808075875,9.94534689415,energy_storage_exchange / Germany Power Plants (conventional).csv
27,Harspranget,Harspranget,Harspranget,Harspranget,Sweden,Hydro,Run-of-river,977.0,66.9102683201,19.8183824095,Sweden Power Plant.csv
28,Messaure,Messaure,Messaure,Messaure,Sweden,Hydro,Run-of-river,442.0,66.6584938871,20.1641580779,Sweden Power Plant.csv
29,Wendefurth,Wendefurth,Wendefurth,Wendefurth,Germany,Hydro,Pumped Storage,80.0,51.7374444333,10.9145222333,energy_storage_exchange / Germany Power Plants (conventional).csv
30,Stornorrfors,Storrnorfors,Stornorrfors,Stornorrfors,Sweden,Hydro,Run-of-river,591.0,63.8537415049,20.1099298237,Sweden Power Plant.csv
31,Ligga,Ligga,Ligga,Ligga,Sweden,Hydro,Run-of-river,324.0,66.4518076534,20.5864554095,Sweden Power Plant.csv
32,Hojum,Hojum,Hojum,Hojum,Sweden,Hydro,Run-of-river,170.0,58.2814204672,12.2819483871,Sweden Power Plant.csv
33,Alvkarleby,Älvkarleby,Alvkarleby,Alvkarleby,Sweden,Hydro,Reservoir,125.0,60.527312775,17.3871762,Sweden Power Plant.csv
34,Laxede,Laxede,Laxede,Laxede,Sweden,Hydro,Run-of-river,207.0,66.2536250104,20.8396873275,Sweden Power Plant.csv
35,Hausling,Häusling,Haeusling,HäUsling,Austria,Hydro,Pumped Storage,360.0,47.14871,11.9680619,energy_storage_exchange / Verbund Power Plant.csv
36,Rosshag,Roßhag,Rosshag,RoßHag,Austria,Hydro,Pumped Storage,231.0,47.0866407667,11.7701975667,energy_storage_exchange / Verbund Power Plant.csv
37,Wehr,Wehr,Wehr,Wehr,Germany,Hydro,Pumped Storage,992.0,47.6407087061,7.9134779775,energy_storage_exchange / Germany Power Plants (conventional).csv
38,Foyers,Foyers,Foyers Scotland,Foyers Falls,United Kingdom,Hydro,Pumped Storage,300.0,57.1552292057,-4.37720353398,energy_storage_exchange / UK Power Plant.csv
39,Plate Taille,Plate taille,Plate Taille Project Belgeium,Plate Taille T,Belgium,Hydro,Pumped Storage,144.0,50.2022949528,4.38121225789,energy_storage_exchange / Belgium Power Plant.csv
40,Letsi,Letsi,Letsi,Letsi,Sweden,Hydro,Reservoir,456.0,66.502013,20.3789075,Sweden Power Plant.csv
41,Aldeadavila,Aldeadávila,Aldeadavila,Aldeadavila,Spain,Hydro,Pumped Storage,1230.0,41.075835,-6.17778,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
42,,Chiotas entracque,Entracque Chiotas Piastra,Entracque_Chro,Italy,Hydro,Pumped Storage,1184.0,44.215675,7.401167,energy_storage_exchange / Italy Power Plant.csv
43,,Limberg,Kaprun Limberg,Kaprun Limberg,Austria,Hydro,Pumped Storage,593.0,47.178825,12.71538,energy_storage_exchange / Verbund Power Plant.csv
44,,Malta main stage,Malta Haupstufe Rottau,Malta Main Stage,Austria,Hydro,Pumped Storage,730.0,46.87035,13.3297,energy_storage_exchange / Verbund Power Plant.csv
45,Genissiat Seyssel,,Genissiat,Genissiat,France,Hydro,Reservoir,420.0,45.9765,5.96483335,France Power Plant.csv
46,Beauchastel,,Beauchastel,Beauchastel,France,Hydro,Run-of-river,204.0,44.87866665,4.8555,France Power Plant.csv
47,Lixhe,,Lixhe,Hu Lixhe,Belgium,Hydro,Run-of-river,20.0,50.7446479347,5.69268594208,Belgium Power Plant.csv
48,Ottmarsheim,,Ottmarsheim,Ottmarsheim,France,Hydro,Run-of-river,156.0,47.7802755,7.516176,France Power Plant.csv
49,Sisteron,,Sisteron,Sisteron,France,Hydro,Reservoir,256.0,44.19879,5.933614,France Power Plant.csv
50,Pied  Borne,,Pied Borne,Pied Borne,France,Hydro,Reservoir,110.0,44.477342992,3.98517319489,France Power Plant.csv
51,Aston,,Aston,Aston,France,Hydro,Reservoir,116.0,42.7757035,1.675212,France Power Plant.csv
52,Kembs,,Kembs,Kembs,France,Hydro,Run-of-river,156.0,47.6722415,7.511617,France Power Plant.csv
53,Gerstheim,,Gerstheim,Gerstheim,France,Hydro,Run-of-river,141.0,48.392712,7.7155415,France Power Plant.csv
54,Brommat,,Brommat,Brommat,France,Hydro,Reservoir,444.0,44.4183145,1.792959,France Power Plant.csv
55,Pragneres,,Pragneres,Pragneres,France,Hydro,Pumped Storage,292.0,42.804081,0.014442,France Power Plant.csv
56,St Leonard,,St Leonard,St LéOnard,Switzerland,Hydro,Run-of-river,34.0,46.6023929667,8.02924676667,Switzerland Power Plant.csv
57,Batiaz,,Batiaz,BâTiaz,Switzerland,Hydro,Reservoir,162.0,46.3929749667,7.8266835,Switzerland Power Plant.csv
58,Stalden,,Stalden,Stalden Kwm,Switzerland,Hydro,Reservoir,185.0,46.609212024,8.02825955661,Switzerland Power Plant.csv
59,Zermeiggern,,Zermeiggern,Zermeiggern,Switzerland,Hydro,Pumped Storage,74.0,46.083228,7.957305,Switzerland Power Plant.csv
60,Aarberg,,Aarberg,Aarberg,Switzerland,Hydro,Run-of-river,15.5,47.0410967139,7.27389081573,Switzerland Power Plant.csv
61,Ottenstein,,Ottenheim Wilhering,Ottensheim Wilhering,Austria,Hydro,Run-of-river,179.0,48.4575193443,14.7446149308,Verbund Power Plant.csv
62,Heid  Goreux,,Heid Goreux,Heid Goreux,Belgium,Hydro,Run-of-river,8.1,50.4500564608,5.70482086792,Belgium Power Plant.csv
63,Caderousse,,Caderousse,Caderousse,France,Hydro,Run-of-river,156.0,44.1175975,4.765953,France Power Plant.csv
64,Avignon,,Avignon,Avignon,France,Hydro,Run-of-river,176.0,43.9621693172,4.81296090698,France Power Plant.csv
65,Baix  Logis Neuf,,Logis Neuf,Baix Logis Neuf,France,Hydro,Run-of-river,215.0,44.80466665,4.8435,France Power Plant.csv
66,Bourg  Valence,,Bourg Les Valence,Bourg Les Valence,France,Hydro,Run-of-river,180.0,44.9835045,4.8746135,France Power Plant.csv
67,Mareges,,Mareges,Mareges,France,Hydro,Reservoir,301.8,45.396,2.357,France Power Plant.csv
68,Castro,,Castro,Castro,Spain,Hydro,Reservoir,190.0,41.697448,-5.8267305,Spain Power Plants Over 10 MW.csv
69,Sainte Croix,,Sainte Croix,Sainte Croix,France,Hydro,Reservoir,158.0,43.7435,6.142,France Power Plant.csv
70,Couesque,,Couesque,Couesque,France,Hydro,Reservoir,124.0,44.6710315715,2.5762266922,France Power Plant.csv
71,Oraison,,Oraison,Oraison,France,Hydro,Run-of-river,195.0,43.94383335,5.85416665,France Power Plant.csv
72,Saint Chamas,,Saint Chamas,Saint Chamas,France,Hydro,Run-of-river,165.0,43.538232,5.053122,France Power Plant.csv
73,Saint Etienne Cantales,,Saint Etienne Cantales,St Etienne Cantales,France,Hydro,Reservoir,105.0,44.9459135,2.2215885,France Power Plant.csv
74,Strasbourg,,Strasbourg,Strasbourg,France,Hydro,Run-of-river,141.0,48.5547105644,7.76997903443,France Power Plant.csv
75,Grands Malades,,Grand Malades,Hu Grand Malades,Belgium,Hydro,Run-of-river,5.0,50.4614282398,4.88543202362,Belgium Power Plant.csv
76,Ampsin Neuville,,Ampsin Neuville,Hu Ampsin Neuville,Belgium,Hydro,Run-of-river,9.9,50.5375133033,5.2870503479,Belgium Power Plant.csv
77,Bathie,,Bathie,Bathie,France,Hydro,Reservoir,1056.0,45.636483,6.44882,France Power Plant.csv
78,Serre Poncon,,Serre Poncon,Serre Poncon,France,Hydro,Reservoir,360.0,44.4678835,6.2434525,France Power Plant.csv
79,Monteynard,,Monteyard Avigonnet,Monteynard,France,Hydro,Reservoir,360.0,45.079788,5.109954,France Power Plant.csv
80,Malgovert,,Brevieres Malgovert,Malgovert,France,Hydro,Reservoir,396.0,45.6462613098,6.5903048706,France Power Plant.csv
81,Bort,,Bort Les Orgues,Bort,France,Hydro,Reservoir,240.0,45.4065,2.4995,France Power Plant.csv
82,Saint Esteve,,Saint Esteve Janson,Saint Esteve,France,Hydro,Run-of-river,156.0,43.93766665,5.77583335,France Power Plant.csv
83,Grand Maison,,Grand Maison,Grand Maison,France,Hydro,Pumped Storage,1800.0,45.152617,6.065418,France Power Plant.csv
84,Fessenheim Hydro,,Fessenheim,Fessenheim,France,Hydro,Run-of-river,166.0,47.9162205,7.5539925,France Power Plant.csv
85,Chastang,,Chastang,Chastang,France,Hydro,Reservoir,300.0,45.1413555,2.01667,France Power Plant.csv
86,Sarrans,,Sarrans,Sarrans,France,Hydro,Reservoir,180.0,44.8368285,2.7005945,France Power Plant.csv
87,Rhinau,,Rhinau,Rhinau,France,Hydro,Run-of-river,152.0,48.2872516086,7.67125440979,France Power Plant.csv
88,Marckolsheim,,Marckolsheim,Marckolsheim,France,Hydro,Run-of-river,156.0,48.1593557386,7.56650126648,France Power Plant.csv
89,Andenne,,Andenne Seilles,Hu Andenne,Belgium,Hydro,Run-of-river,9.0,50.491104,5.0825635,Belgium Power Plant.csv
90,Villarodin (Mont Cenis),,Villarodin,Villarodin,France,Hydro,Reservoir,360.0,45.2065,6.69383335,France Power Plant.csv
91,Vouglans,,Vouglans,Vouglans,France,Hydro,Reservoir,262.0,46.4002401169,5.6574304657,France Power Plant.csv
92,Curbans,,Curbans,Curbans,France,Hydro,Reservoir,165.0,44.4379995,6.0500895,France Power Plant.csv
93,Ardnacrusha,,Ardnacrusha,Ardnacrusha,Ireland,Hydro,Run-of-river,86.0,52.31599445,-8.81098335,Ireland and Northern Ireland.csv
94,Felsenau,,Felsenau,Felsenau,Switzerland,Hydro,Run-of-river,11.3,46.9584471683,7.44327150421,Switzerland Power Plant.csv
95,Gondo,,Gondo,Gondo,Switzerland,Hydro,Reservoir,45.0,46.2389248263,8.09257246292,Switzerland Power Plant.csv
96,Villach,,Villach,Villach,Austria,Hydro,Run-of-river,24.6,46.6215889,13.84261665,Verbund Power Plant.csv
97,Greifenstein,,Greifenstein,Greifenstein,Austria,Hydro,Run-of-river,293.0,48.3509831882,16.2423280823,Verbund Power Plant.csv
98,Lavamund,,Lavamuend,LavamüNd,Austria,Hydro,Run-of-river,28.0,46.6417425161,14.9425142838,Verbund Power Plant.csv
99,Paternion,,Paternion,Paternion,Austria,Hydro,Run-of-river,24.0,46.71752835,13.64070555,Verbund Power Plant.csv
100,Kellerberg,,Kellersberg,Kellerberg,Austria,Hydro,Run-of-river,24.6,46.67,13.70705555,Verbund Power Plant.csv
101,Saucelle,,Saucelle,Saucelle,Spain,Hydro,Reservoir,525.0,41.046344,-6.779991,Spain Power Plants Over 10 MW.csv
102,Ricobayo (Esla),,Ricobayo,Ricobayo,Spain,Hydro,Reservoir,291.0,41.524192,-5.978008,Spain Power Plants Over 10 MW.csv
103,Villalcampo,,Villalcampo,Villalcampo,Spain,Hydro,Reservoir,206.0,41.506796,-6.067056,Spain Power Plants Over 10 MW.csv
104,Jose Oriol,,Jose Maria Oriol Alcantara,Jose M Oriol,Spain,Hydro,Reservoir,957.0,39.724475,-6.8842375,Spain Power Plants Over 10 MW.csv
105,Innertkirchen,,Innertkirchen,Innertkirchen,Switzerland,Hydro,Run-of-river,317.0,46.9122705667,8.51432936933,Switzerland Power Plant.csv
106,Freudenau,,Freudenau,Vienna Freudenau,Austria,Hydro,Run-of-river,172.0,48.1925438801,16.4267375404,Verbund Power Plant.csv
107,Funsingau,,Funsingau,Funsingau,Austria,Hydro,Reservoir,25.0,47.22603335,12.02913,Verbund Power Plant.csv
108,Gerlos,,Gerlos,Gerlos,Austria,Hydro,Reservoir,200.0,47.23375165,11.89152665,Verbund Power Plant.csv
109,Melk,,Melk,Melk,Austria,Hydro,Run-of-river,187.0,48.2252836257,15.3180303903,Verbund Power Plant.csv
110,Schwabek,,Schwabeck,Schwabeck,Austria,Hydro,Run-of-river,79.0,46.654278,14.861578,Verbund Power Plant.csv
111,Aschach,,Aschach,Aschach,Austria,Hydro,Run-of-river,287.0,48.1992117431,14.1792207947,Verbund Power Plant.csv
112,Altenworth,,Altenwoerth,AltenwöRth,Austria,Hydro,Run-of-river,328.0,48.37891665,15.8528,Verbund Power Plant.csv
113,St Veit,,St. Veit,St. Veit,Austria,Hydro,Run-of-river,16.0,47.35234165,12.8872,Verbund Power Plant.csv
114,Schwarzach (Sbg),,Schwarzach,Schwarzach,Austria,Hydro,Run-of-river,120.0,47.34926665,12.86945,Verbund Power Plant.csv
115,Urreiting,,Urreiting,Urreiting,Austria,Hydro,Run-of-river,16.0,47.37909165,13.21338335,Verbund Power Plant.csv
116,St Johann,,St. Johann,St. Johann,Austria,Hydro,Run-of-river,16.0,47.3369189,13.24814445,Verbund Power Plant.csv
117,Kreuzbergmaut,,Kreuzbergmaut,Kreuzbergmaut,Austria,Hydro,Run-of-river,18.0,47.42893335,13.21373335,Verbund Power Plant.csv
118,Bischofhofen,,Bischofshofen,Bischofshofen,Austria,Hydro,Run-of-river,16.0,47.41183335,13.21858335,Verbund Power Plant.csv
119,Chatelard,,Chatelard Vallorcine,ChâTelard Vallorcine,Switzerland,Hydro,Reservoir,189.0,46.0615793115,6.95874713109,Switzerland Power Plant.csv
120,Verbois,,Verbois,Verbois,Switzerland,Hydro,Run-of-river,100.0,46.23801665,6.09738335,Switzerland Power Plant.csv
121,Chancy Pougny,,Chancy Pougny,Chancy Pougny,Switzerland,Hydro,Run-of-river,49.0,46.1604,5.9766,Switzerland Power Plant.csv
122,Hopflauenen Trift,,Hopflauenen,Hopflauenen Trift,Switzerland,Hydro,Reservoir,92.0,46.462883675,7.764466425,Switzerland Power Plant.csv
123,Grimsel  Ost,,Grimsel,Grimsel,Switzerland,Hydro,Pumped Storage,415.0,46.4420050266,8.05608684495,Switzerland Power Plant.csv
124,Seujet,,Seujet,Seujet,Switzerland,Hydro,Run-of-river,5.6,46.2042,6.1355,Switzerland Power Plant.csv
125,Ybbs Persenberg,,Ybbs Persenburg,Ybbs Persenbeug,Austria,Hydro,Run-of-river,236.5,48.18916,15.0682,Verbund Power Plant.csv
126,Wallsee Mitterkirchen,,Wallsee Mitterkirchen,Wallsee Mitterkirchen,Austria,Hydro,Run-of-river,210.0,48.16656,14.6953,Verbund Power Plant.csv
127,Annabrucke,,Annabruecke,AnnabrüCke,Austria,Hydro,Run-of-river,90.0,46.5612,14.4795,Verbund Power Plant.csv
128,Croix,,Croix,Croix,Switzerland,Hydro,Reservoir,66.0,46.63709745,7.44002434058,Switzerland Power Plant.csv
129,Gabi,,Gabi,Gabi,Switzerland,Hydro,Reservoir,11.0,46.1882,8.0702,Switzerland Power Plant.csv
130,Ferlach Maria Rain,,Ferlach Maria Rain,Ferlach Maria Rain,Austria,Hydro,Run-of-river,75.0,46.5462,14.2985,Verbund Power Plant.csv
131,Feistritz Ludmannsdorf,,Feistritz Ludmannsdorf,Feistritz Ludmannsdorf,Austria,Hydro,Run-of-river,88.0,46.5347,14.1712,Verbund Power Plant.csv
132,Niederried Radelfingen,,Niederried Radelfingen,Niederried,Switzerland,Hydro,Run-of-river,15.0,47.0031,7.241,Switzerland Power Plant.csv
133,Rosegg St Jakob,,Rosegg St. Jakob,Rosegg St. James,Austria,Hydro,Run-of-river,80.0,46.5696,14.0268,Verbund Power Plant.csv
134,Abwinden Asten,,Abwinden Asten,Abwinden Asten,Austria,Hydro,Run-of-river,168.0,48.24798,14.4305,Verbund Power Plant.csv
135,Mayrhofen (Zemm),,Mayrhofen,Mayrhofen,Austria,Hydro,Reservoir,345.0,47.158065,11.850133,Verbund Power Plant.csv
136,Sloy,,Loch Sloy,Sloy,United Kingdom,Hydro,Reservoir,130.0,56.5186556,-4.41287585,UK Power Plant.csv
137,,,Aussois + Combe D'Avrieux,Combe D'Avrieux,France,Hydro,Reservoir,198.0,45.215,6.712,France Power Plant.csv
138,,,Butgenbach,Butgenbach,Belgium,Hydro,Reservoir,1.8,50.4359,6.2106,Belgium Power Plant.csv
139,,,Eglisau,Eglisau,Switzerland,Hydro,Run-of-river,47.0,47.277923,8.098799,Switzerland Power Plant.csv
140,,,Floriffoux,Hu Floriffoux,Belgium,Hydro,Run-of-river,0.8,50.4468,4.7767,Belgium Power Plant.csv
141,,,Hydro Vierre,Vierre,Belgium,Hydro,Reservoir,1.9,49.733,5.377,Belgium Power Plant.csv
142,,,Jochenstein,Jochenstein,Austria,Hydro,Run-of-river,132.0,48.5184,13.7076,Verbund Power Plant.csv
143,,,Kaprun Klammsee,Klammsee,Austria,Hydro,Run-of-river,1.0,47.2591,12.7389,Verbund Power Plant.csv
144,,,Monsin,Hu Monsin,Belgium,Hydro,Run-of-river,19.7,50.6517,5.6308,Belgium Power Plant.csv
145,,,Nant Drance,Nant Drance,Switzerland,Hydro,Pumped Storage,900.0,46.5117291,8.04184805793,Switzerland Power Plant.csv
146,,,Wallnerau Salzach,Wallnerau Salzach Stage,Austria,Hydro,Run-of-river,13.0,47.316,13.14095,Verbund Power Plant.csv
147,,,Wallnerau Unterwasser,Wallnerau Underwater Stage,Austria,Hydro,Run-of-river,5.0,47.31554,13.140946,Verbund Power Plant.csv
148,,,Werfen Pfarrwerfen,Werfen Pfarrwerfen,Austria,Hydro,Run-of-river,16.0,47.4698,13.1945,Verbund Power Plant.csv
150,Vassli,Vassli,,Vassli,Norway,Hydro,Pumped Storage,12.0,62.91985835,9.25911665,Norway Power Plants (ENTSOE) .csv
151,Hol,Holmvatn,,Hol,Norway,Hydro,Reservoir,350.0,63.47197665,10.86510335,Norway Power Plants (ENTSOE) .csv
152,Nes,Nes,,Nes Oek,Norway,Hydro,Reservoir,299.0,60.36059835,9.94314835,Norway Power Plants (ENTSOE) .csv
153,Nedre Vinstra,Nedre vinstra,,Nedre Vinstra,Norway,Hydro,Reservoir,343.0,61.588025,9.773875,Norway Power Plants (ENTSOE) .csv
154,Aguayo,Aguayo,,Aguayo,Spain,Hydro,Pumped Storage,360.6,43.0719165,-4.0227475,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
155,Langenprozelten,Langenprozelten,,Psw Langenprozelten,Germany,Hydro,Pumped Storage,328.0,50.0020174667,8.92527326667,energy_storage_exchange / Germany Power Plants (conventional).csv
156,Kvistforsen,Kvistforsen,,Kvistforsen,Sweden,Hydro,Run-of-river,140.0,64.7477751739,20.9081137759,Sweden Power Plant.csv
157,Pengfors,Pengfors krv,,Pengfors,Sweden,Hydro,Reservoir,69.0,63.92738515,19.66710985,Sweden Power Plant.csv
161,Brokke,Brokke,,Brokke,Norway,Hydro,Reservoir,443.0,58.887815,8.23808335,Norway Power Plants (ENTSOE) .csv
162,Dynjanfoss,Dynjanfoss,,Dynjanfoss,Norway,Hydro,Run-of-river,39.0,59.05912335,8.44764,Norway Power Plants (ENTSOE) .csv
163,Hovatn,Hovatn,,Hovatn,Norway,Hydro,Run-of-river,55.0,58.98313165,7.67634665,Norway Power Plants (ENTSOE) .csv
164,Hekni,Hekni,,Hekni,Norway,Hydro,Run-of-river,60.0,58.8225,8.25697835,Norway Power Plants (ENTSOE) .csv
165,Jorundland,Jörundland,,Jorundland,Norway,Hydro,Run-of-river,65.0,58.90321,8.24897835,Norway Power Plants (ENTSOE) .csv
166,Moralets,Moralets llauset lleida huesca,,Moralets,Spain,Hydro,Pumped Storage,221.4,42.5227245423,0.692099304199,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
167,Gronnsdal,Grönsdal,,Gronsdal,Norway,Hydro,Run-of-river,36.0,60.43651665,5.854745,Norway Power Plants (ENTSOE) .csv
168,Evanger,Evanger,,Evanger,Norway,Hydro,Reservoir,446.0,60.6396,6.267235,Norway Power Plants (ENTSOE) .csv
169,Fosse,Fosse,,Fosse,Norway,Hydro,Run-of-river,25.0,60.53255165,5.81007665,Norway Power Plants (ENTSOE) .csv
170,Matre,Matre,,Matre,Norway,Hydro,Reservoir,275.0,60.836285,5.4477,Norway Power Plants (ENTSOE) .csv
172,Sorfjord,Sorfjord,,Sorfjord,Norway,Hydro,Run-of-river,88.0,68.3837578,16.18259445,Norway Power Plants (ENTSOE) .csv
173,Gideabacka,Gideabacka,,Gideabacka,Sweden,Hydro,Reservoir,15.8,63.33223465,19.1133465,Sweden Power Plant.csv
174,Sarp,Sarp,,Sarp,Norway,Hydro,Reservoir,90.0,59.280175,11.121675,Norway Power Plants (ENTSOE) .csv
176,Tanes,Tanes,,Tanes,Spain,Hydro,Pumped Storage,133.0,43.228304,-5.6902275,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
178,Stadsforsen,Stadsforsen,,Stadsforsen,Sweden,Hydro,Reservoir,142.0,63.1166609333,15.9507460333,Sweden Power Plant.csv
179,Guijo  Granadilla,Guijo grandadilla,,Guijo Granadilla,Spain,Hydro,Pumped Storage,54.0,40.1967535,-6.161695,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
180,Gabriel Y Galan,Gabriel y galan,,Gabriel Galan,Spain,Hydro,Pumped Storage,111.0,40.1967535,-6.161695,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
181,Conso,Conso,,Conso,Spain,Hydro,Pumped Storage,268.02,42.15333335,-7.23666665,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
182,Puente Bibey,Puente bibey,,Puente Bibey,Spain,Hydro,Pumped Storage,315.0,42.309812498,-7.23104690552,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
183,Bissorte,Super bissorte,,Super Bissorte,France,Hydro,Pumped Storage,821.5,45.471735,6.546954,energy_storage_exchange / France Power Plant.csv
184,Glems,Glems,,Pumpspeicherkraftwerk Glems,Germany,Hydro,Pumped Storage,90.64,48.5086151544,9.30327106991,energy_storage_exchange / Germany Power Plants (conventional).csv
185,Osa,Nye osa,,Osa,Norway,Hydro,Run-of-river,96.0,61.190545,11.553315,Norway Power Plants (ENTSOE) .csv
186,Mesna,Mesna,,Mesna,Norway,Hydro,Run-of-river,42.0,61.11608,10.46861,Norway Power Plants (ENTSOE) .csv
187,Pont Ventoux Susa,Pont ventoux susa,,Pont Ventoux,Italy,Hydro,Pumped Storage,158.0,45.1067492,6.9466249,energy_storage_exchange / Italy Power Plant.csv
188,Villa Gargnano,Villa gargnano,,Gargnano,Italy,Hydro,Pumped Storage,139.62,45.689076,10.6614588667,energy_storage_exchange / Italy Power Plant.csv
189,Montamara,Cardos valley complex montamara,,Montamara,Spain,Hydro,Pumped Storage,92.42,42.6306895,1.2544645,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
190,Capriati(Lete Sava),Capriati,,Capriati,Italy,Hydro,Pumped Storage,115.0,41.485748,14.14028,energy_storage_exchange / Italy Power Plant.csv
191,Provvidenza,Provvidenza,,Provvidenza,Italy,Hydro,Pumped Storage,156.0,43.1529664,12.6227125,energy_storage_exchange / Italy Power Plant.csv
192,Guillena,Guillena,,Guillena,Spain,Hydro,Pumped Storage,215.0,37.5413103801,-6.05812814713,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
193,Bargi Psp,Bargi,,Bargi,Italy,Hydro,Pumped Storage,330.0,44.1569713333,11.079208,energy_storage_exchange / Italy Power Plant.csv
194,Fadalto,Fadalto,,Fadalto,Italy,Hydro,Pumped Storage,210.0,46.0121266667,12.3132701,energy_storage_exchange / Italy Power Plant.csv
