Name,Converterstation 1,Converterstation 2,Total Length (Cable/Pole) (km),Volt (kV),Power (MW),Year,Type,Remarks,Ref,x1,y1,x2,y2
Interconnexion France Angleterre (new),France - Les Mandarins 50°54′11″N 1°47′5″E﻿ / ﻿50.90306°N 1.78472°E,UK - Sellindge 51°6′21″N 0°58′32″E﻿ / ﻿51.10583°N 0.97556°E,72(72/0),270,2000.0,1986,Thyr,2 bipolar systems Supplier: Alstom,[1][37],1.7847222222222223,50.903055555555554,0.9755555555555555,51.10583333333334
Gotland 3,Sweden - Västervik 57°43′41″N 16°38′51″E﻿ / ﻿57.72806°N 16.64750°E,Sweden - Yigne 57°35′13″N 18°11′44″E﻿ / ﻿57.58694°N 18.19556°E,98(98/0),150,130.0,1987,Thyr,Supplier: ABB,,16.6475,57.72805555555556,18.195555555555554,57.58694444444444
Konti-Skan 2,"Denmark - Vester- Hassing 57°3′46″N 10°5′24″E﻿ / ﻿57.06278°N 10.09000°E",Sweden - Lindome 57°36′24″N 12°6′40″E﻿ / ﻿57.60667°N 12.11111°E,147(87/60),285,300.0,1988,Thyr,Supplier: ABB,,10.09,57.062777777777775,12.11111111111111,57.60666666666667
Fenno-Skan,Finland - Rauma 61°09′07″N 21°37′32″E﻿ / ﻿61.15194°N 21.62556°E,Sweden - Dannebo 60°24′14″N 18°08′10″E﻿ / ﻿60.40389°N 18.13611°E,233(200/33),400,500.0,1989,Thyr,Supplier: ABB,,21.625555555555554,61.151944444444446,18.136111111111113,60.403888888888886
SACOI 2,Italy - Suvereto 43°3′10″N 10°41′42″E﻿ / ﻿43.05278°N 10.69500°E ( before 1992: Italy - San Dalmazio 43°15′43″N 10°55′05″E﻿ / ﻿43.26194°N 10.91806°E),"France- Lucciana 42°31′40″N 9°26′59″E﻿ / ﻿42.52778°N 9.44972°E",422(118/304),200,300.0,1992,Thyr,Multiterminal scheme Supplier: Alstom,,10.695,43.05277777777778,9.449722222222222,42.52777777777778
SACOI 2,"France- Lucciana 42°31′40″N 9°26′59″E﻿ / ﻿42.52778°N 9.44972°E"," Codrongianos- Italy 40°39′7″N 8°42′48″E﻿ / ﻿40.65194°N 8.71333°E",422(118/304),200,300.0,1992,Thyr,Multiterminal scheme Supplier: Alstom,,9.449722222222222,42.52777777777778,8.679351,40.65765
Skagerrak 3,Denmark - Tjele 56°28′44″N 9°34′1″E﻿ / ﻿56.47889°N 9.56694°E,Norway - Kristiansand 58°15′36″N 7°53′55″E﻿ / ﻿58.26000°N 7.89861°E,230(130/100),350,440.0,1993,Thyr,Supplier: Nexans ABB,[34],9.566944444444445,56.47888888888889,7.898611111111111,58.26
Baltic Cable,Germany - Lübeck- Herrenwyk 53°53′46″N 10°48′9″E﻿ / ﻿53.89611°N 10.80250°E,Sweden - Kruseberg 55°30′1″N 13°8′45″E﻿ / ﻿55.50028°N 13.14583°E,262(250/12),450,600.0,1994,Thyr,Supplier: ABB,,10.8025,53.89611111111111,13.145833333333334,55.500277777777775
Kontek,Denmark - Bjæverskov 55°27′1″N 12°0′27″E﻿ / ﻿55.45028°N 12.00750°E,Germany - Bentwisch 54°6′3″N 12°13′1″E﻿ / ﻿54.10083°N 12.21694°E,170(170/0),400,600.0,1996,Thyr,Supplier: ABB,,12.0075,55.45027777777778,12.216944444444444,54.100833333333334
Hellsjön-Grängesberg,Sweden - Hellsjön 60°02′50″N 15°08′52″E﻿ / ﻿60.04722°N 15.14778°E,Sweden - Grängesberg 60°03′53″N 14°59′39″E﻿ / ﻿60.06472°N 14.99417°E,10(0/10),180,3.0,1997,IGBT,Experimental HVDC Supplier: ABB,,15.147777777777778,60.047222222222224,14.994166666666667,60.06472222222222
Visby-Nas,Sweden - Nas 57°05′58″N 18°14′27″E﻿ / ﻿57.09944°N 18.24083°E,Sweden - Visby 57°37′29″N 18°21′18″E﻿ / ﻿57.62472°N 18.35500°E,70(70/0),80,50.0,1999,Thyr,,,18.240833333333335,57.099444444444444,18.355,57.624722222222225
SwePol,Poland - Wierzbięcin 54°30′8″N 16°53′28″E﻿ / ﻿54.50222°N 16.89111°E,Sweden - Stärnö 56°9′11″N 14°50′29″E﻿ / ﻿56.15306°N 14.84139°E,245(245/0),450,600.0,2000,Thyr,Supplier: ABB,[38],16.891111111111112,54.50222222222222,14.841388888888888,56.153055555555554
Tjæreborg,Denmark - Tjæreborg/Enge 55°26′52″N 8°35′34″E﻿ / ﻿55.44778°N 8.59278°E,Denmark - Tjæreborg/Substation 55°28′07″N 8°33′36″E﻿ / ﻿55.46861°N 8.56000°E,4.3(4.3/0),9,7.0,2000,IGBT,Interconnection to wind power generating stations,,8.592777777777778,55.44777777777778,8.56,55.46861111111111
Italy-Greece,Greece - Arachthos 39°11′00″N 20°57′48″E﻿ / ﻿39.18333°N 20.96333°E,Italy - Galatina 40°9′53″N 18°7′49″E﻿ / ﻿40.16472°N 18.13028°E,310(200/110),400,500.0,2001,Thyr,,,20.963333333333335,39.18333333333333,18.130277777777778,40.164722222222224
Moyle,UK - Auchencrosh 55°04′10″N 4°58′50″W﻿ / ﻿55.06944°N 4.98056°W,UK - N. Ireland- Ballycronan More 54°50′34″N 5°46′11″W﻿ / ﻿54.84278°N 5.76972°W,63.5(63.5/0),250,2501.0,2001,Thyr,"Supplier: Siemens- Nexans",[39],-4.980555555555556,55.06944444444444,-5.769722222222223,54.842777777777776
HVDC Troll,Norway - Kollsnes 60°33′01″N 4°50′26″E﻿ / ﻿60.55028°N 4.84056°E,Norway - Offshore platform Troll A 60°40′00″N 3°40′00″E﻿ / ﻿60.66667°N 3.66667°E,70(70/0),60,80.0,2004,IGBT,Power supply for offshore gas compressor Supplier: ABB,[40],4.8405555555555555,60.55027777777778,3.6666666666666665,60.666666666666664
Estlink,Finland - Espoo 60°12′14″N 24°33′06″E﻿ / ﻿60.20389°N 24.55167°E,Estonia - Harku 59°23′5″N 24°33′37″E﻿ / ﻿59.38472°N 24.56028°E,105(105/0),150,350.0,2006,IGBT,Supplier: ABB,[40],24.551666666666666,60.20388888888889,24.560277777777777,59.38472222222222
NorNed,Netherlands - Eemshaven 53°26′4″N 6°51′57″E﻿ / ﻿53.43444°N 6.86583°E,Norway - Feda 58°16′58″N 6°51′55″E﻿ / ﻿58.28278°N 6.86528°E,580(580/0),450,700.0,2008,Thyr,"Supplier: ABB- Nexans",[40],6.865833333333334,53.434444444444445,6.865277777777778,58.28277777777778
BritNed,UK - Grain 51°26′24″N 0°43′0″E﻿ / ﻿51.44000°N 0.71667°E,Netherlands - Maasvlakte 51°57′27″N 4°01′17″E﻿ / ﻿51.95750°N 4.02139°E,245(245/0),450,1000.0,2010,Thyr,Operational since April 2011. Supplier: Siemens,[40][41] [42][43],0.7166666666666667,51.44,4.021388888888889,51.9575
StoreBælt,Denmark - Fraugde 55°22′01″N 10°30′25″E﻿ / ﻿55.36694°N 10.50694°E,Denmark - Herslev 55°31′53″N 11°19′01″E﻿ / ﻿55.53139°N 11.31694°E,56(56/0),400,600.0,2010,Thyr,Operational since August 2010. Supplier: Siemens,[40],10.506944444444445,55.36694444444444,11.316944444444445,55.53138888888889
Cometa,Spain - Morvedre 39°38′28″N 0°14′7″W﻿ / ﻿39.64111°N 0.23528°W,Spain - Santa Ponsa 39°32′2″N 2°30′21″E﻿ / ﻿39.53389°N 2.50583°E,247(247/0),250,400.0,2011,Thyr,Expected completion 2011 Supplier: Siemens (converter stations); Prysmian/Nexans (cables),[40],-0.23527777777777778,39.64111111111111,2.5058333333333334,39.53388888888889
Fenno-Skan 2,Finland - Rauma 61°09′07″N 21°37′32″E﻿ / ﻿61.15194°N 21.62556°E,Sweden - Finnbole 60°25′30″N 17°3′42″E﻿ / ﻿60.42500°N 17.06167°E,303(200/103),500,800.0,2011,Thyr,,,21.625555555555554,61.151944444444446,17.061666666666667,60.425
SAPEI,Italy - Latina 41°25′47″N 12°48′25″E﻿ / ﻿41.42972°N 12.80694°E,Italy - Fiume Santo 40°50′29″N 8°18′21″E﻿ / ﻿40.84139°N 8.30583°E,435(435/0),500,1000.0,2011,Thyr,The largest HVDC link in the Mediterranean Sea. Supplier: ABB,[40][44][45],12.806944444444444,41.429722222222225,8.305833333333334,40.841388888888886
East West Interconnector,Ireland - Woodland 53°28′16″N 6°34′3″W﻿ / ﻿53.47111°N 6.56750°W,"UK - Shotton- Wales 53°13′38″N 3°4′22″W﻿ / ﻿53.22722°N 3.07278°W",130(130/0),±200,500.0,2012,IGBT,Supplier: ABB,[51],-6.5675,53.471111111111114,-3.0727777777777776,53.227222222222224
Estlink 2,Finland - Anttila 60°22′36″N 25°22′01″E﻿ / ﻿60.37667°N 25.36694°E,Estonia - Püssi 59°22′13″N 27°04′05″E﻿ / ﻿59.37028°N 27.06806°E,171(157/14),450,650.0,2014,Thyr,"Supplier: Siemens- Nexans",,25.366944444444446,60.376666666666665,27.068055555555556,59.37027777777778
BorWin2,Germany - Diele 53°7′30″N 7°18′29″E﻿ / ﻿53.12500°N 7.30806°E,Germany - BorWin Beta platform 54°21′18″N 6°01′30″E﻿ / ﻿54.35500°N 6.02500°E,200(200/0),±300,800.0,2015,IGBT,Supplier: Siemens,[58],7.308055555555556,53.125,6.025,54.355
DolWin1,Germany - Heede 52°58′57″N 7°15′26″E﻿ / ﻿52.98250°N 7.25722°E,Germany - DolWin Alpha platform 53°59′42″N 6°25′16″E﻿ / ﻿53.99500°N 6.42111°E,165(165/0),±320,800.0,2015,IGBT,Supplier:ABB,[59],7.2572222222222225,52.9825,6.421111111111111,53.995
HelWin1,Germany - Büttel 53°55′01″N 9°13′55″E﻿ / ﻿53.91694°N 9.23194°E,Germany - HelWin Alpha platform 54°27′07″N 7°44′20″E﻿ / ﻿54.45194°N 7.73889°E,130(130/0),±250,576.0,2015,IGBT,Supplier: Siemens,[60],9.231944444444444,53.91694444444445,7.738888888888889,54.45194444444444
HelWin2,Germany - Büttel 53°55′01″N 9°13′55″E﻿ / ﻿53.91694°N 9.23194°E,Germany - HelWin Beta platform 54°27′11″N 7°44′20″E﻿ / ﻿54.45306°N 7.73889°E,130(130/0),±320,690.0,2015,IGBT,Supplier: Siemens,,9.231944444444444,53.91694444444445,7.738888888888889,54.45305555555556
INELFE,France - Baixas 42°43′56″N 2°48′14″E﻿ / ﻿42.73222°N 2.80389°E,Spain - Santa Llogaia 42°13′59″N 2°56′39″E﻿ / ﻿42.23306°N 2.94417°E,64(64/0),±320,2000.0,2015,IGBT,"Supplier: Siemens- Cables: Prysmian. €700m- 8km tunnel near HSR",[61] [62][63][64],2.803888888888889,42.73222222222222,2.944166666666667,42.23305555555555
NordBalt,Sweden - Nybro 56°46′4″N 15°51′15″E﻿ / ﻿56.76778°N 15.85417°E,Lithuania - Klaipėda 55°40′54″N 21°15′24″E﻿ / ﻿55.68167°N 21.25667°E,450(450/0),300,700.0,2015,IGBT,Supplier: ABB,[69],15.854166666666666,56.76777777777778,21.256666666666668,55.681666666666665
Skagerrak 4,Denmark - Tjele 56°28′44″N 9°34′1″E﻿ / ﻿56.47889°N 9.56694°E,Norway - Kristiansand 58°15′36″N 7°53′55″E﻿ / ﻿58.26000°N 7.89861°E,244(244/0),500,700.0,2015,IGBT,"Suppliers: Nexans- ABB",[70],9.566944444444445,56.47888888888889,7.898611111111111,58.26
SylWin1,Germany - Büttel 53°55′01″N 9°13′55″E﻿ / ﻿53.91694°N 9.23194°E,Germany - SylWin Alpha platform 55°03′47″N 7°14′28″E﻿ / ﻿55.06306°N 7.24111°E,205(205/0),±320,864.0,2015,IGBT,Supplier: Siemens,[71],9.231944444444444,53.91694444444445,7.2411111111111115,55.06305555555556
DolWin2,Germany - Heede 52°58′52″N 7°15′26″E﻿ / ﻿52.98111°N 7.25722°E,Germany - DolWin Beta platform 53°58′41″N 6°55′23″E﻿ / ﻿53.97806°N 6.92306°E,135(135/0),±320,900.0,2016,IGBT,Supplier: ABB,[78],7.2572222222222225,52.98111111111111,6.923055555555555,53.97805555555556
SydVästlänken,Sweden - Barkeryd 57°44′52″N 14°39′19″E﻿ / ﻿57.74778°N 14.65528°E,Sweden - Hurva 55°49′59″N 13°36′08″E﻿ / ﻿55.83306°N 13.60222°E,260(197/63),±300,,2016,IGBT,Supplier: Alstom,,14.655277777777778,57.74777777777778,13.602222222222222,55.83305555555555
DolWin3,Germany - Heede 52°58′57″N 7°15′26″E﻿ / ﻿52.98250°N 7.25722°E,Germany - DolWin Gamma platform 53°59′42″N 6°25′16″E﻿ / ﻿53.99500°N 6.42111°E,160(160/0),±320,900.0,2017,IGBT,Supplier: Alstom,[79],7.2572222222222225,52.9825,6.421111111111111,53.995
HVDC MON.ITA Project,Italy-Cepagatti 42°23′41″N 14°07′30″E﻿ / ﻿42.39472°N 14.12500°E,Montenegro - Lastva Grbaljska 42°19′03″N 18°47′41″E﻿ / ﻿42.31750°N 18.79472°E,415(415/0),±500,1000.0,2017,Thyr,Supplier: Toshiba (converter stations); Nexans (cables).,[80][81][82],14.125,42.39472222222222,18.794722222222223,42.3175
Western HVDC Link,UK - Hunterston 55°43′16″N 4°53′7″W﻿ / ﻿55.72111°N 4.88528°W,UK - Flintshire Bridge 53°13′54″N 3°1′58″W﻿ / ﻿53.23167°N 3.03278°W,422(422/0),600,2200.0,2017-18,Thyr,"Supplier: Prysmian Group- SiemensFirst subsea 600kV link",[83][84],-4.885277777777778,55.721111111111114,-3.0327777777777776,53.23166666666667
NORD.LINK,Norway - Tonstad 58°40′07″N 6°45′16″E﻿ / ﻿58.66861°N 6.75444°E,Germany - Wilster 53°55′18″N 9°20′41″E﻿ / ﻿53.92167°N 9.34472°E,623(570/53),525,1400.0,2020,IGBT,Supplier: ABB,[105][106][107],6.754444444444444,58.66861111111111,9.344722222222222,53.92166666666667
