name,bus,sign,control,p_min_pu_fixed,capital_cost,p_nom_extendable,dispatch,p_nom_max,p_nom,p_nom_opt,p_nom_min,p_max_pu_fixed,efficiency,source,marginal_cost,obj
133 Waste,133,1.0,PQ,0.0,0.0,False,flexible,,33.4,0.0,0.0,1.0,1.0,Waste,6.0,Generator 133 Waste
134 Brown Coal,134,1.0,PQ,0.0,0.0,False,flexible,,118.0,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 134 Brown Coal
136 Gas,136,1.0,PQ,0.0,0.0,False,flexible,,838.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 136 Gas
136 Hard Coal,136,1.0,PQ,0.0,0.0,False,flexible,,765.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 136 Hard Coal
137 Gas,137,1.0,PQ,0.0,0.0,False,flexible,,11.4,0.0,0.0,1.0,1.0,Gas,50.0,Generator 137 Gas
139 Hard Coal,139,1.0,PQ,0.0,0.0,False,flexible,,760.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 139 Hard Coal
14 Run of River,14,1.0,PQ,0.0,0.0,False,flexible,,27.0,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 14 Run of River
140 Gas,140,1.0,PQ,0.0,0.0,False,flexible,,11.1,0.0,0.0,1.0,1.0,Gas,50.0,Generator 140 Gas
141 Gas,141,1.0,PQ,0.0,0.0,False,flexible,,64.7,0.0,0.0,1.0,1.0,Gas,50.0,Generator 141 Gas
144 Gas,144,1.0,PQ,0.0,0.0,False,flexible,,99.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 144 Gas
145 Brown Coal,145,1.0,PQ,0.0,0.0,False,flexible,,75.3,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 145 Brown Coal
145 Gas,145,1.0,PQ,0.0,0.0,False,flexible,,536.5,0.0,0.0,1.0,1.0,Gas,50.0,Generator 145 Gas
145 Other,145,1.0,PQ,0.0,0.0,False,flexible,,79.8,0.0,0.0,1.0,1.0,Other,32.0,Generator 145 Other
145 Waste,145,1.0,PQ,0.0,0.0,False,flexible,,45.1,0.0,0.0,1.0,1.0,Waste,6.0,Generator 145 Waste
146 Gas,146,1.0,PQ,0.0,0.0,False,flexible,,84.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 146 Gas
147 Gas,147,1.0,PQ,0.0,0.0,False,flexible,,230.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 147 Gas
148 Gas,148,1.0,PQ,0.0,0.0,False,flexible,,10.2,0.0,0.0,1.0,1.0,Gas,50.0,Generator 148 Gas
148 Oil,148,1.0,PQ,0.0,0.0,False,flexible,,86.2,0.0,0.0,1.0,1.0,Oil,100.0,Generator 148 Oil
148 Waste,148,1.0,PQ,0.0,0.0,False,flexible,,53.7,0.0,0.0,1.0,1.0,Waste,6.0,Generator 148 Waste
150 Gas,150,1.0,PQ,0.0,0.0,False,flexible,,15.8,0.0,0.0,1.0,1.0,Gas,50.0,Generator 150 Gas
155 Waste,155,1.0,PQ,0.0,0.0,False,flexible,,12.6,0.0,0.0,1.0,1.0,Waste,6.0,Generator 155 Waste
156 Brown Coal,156,1.0,PQ,0.0,0.0,False,flexible,,28.9,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 156 Brown Coal
157 Gas,157,1.0,PQ,0.0,0.0,False,flexible,,22.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 157 Gas
159 Gas,159,1.0,PQ,0.0,0.0,False,flexible,,64.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 159 Gas
159_220kV Gas,159_220kV,1.0,PQ,0.0,0.0,False,flexible,,58.58,0.0,0.0,1.0,1.0,Gas,50.0,Generator 159_220kV Gas
16 Gas,16,1.0,PQ,0.0,0.0,False,flexible,,11.4,0.0,0.0,1.0,1.0,Gas,50.0,Generator 16 Gas
160_220kV Waste,160_220kV,1.0,PQ,0.0,0.0,False,flexible,,14.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 160_220kV Waste
162 Gas,162,1.0,PQ,0.0,0.0,False,flexible,,8.5,0.0,0.0,1.0,1.0,Gas,50.0,Generator 162 Gas
163 Waste,163,1.0,PQ,0.0,0.0,False,flexible,,12.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 163 Waste
166 Gas,166,1.0,PQ,0.0,0.0,False,flexible,,332.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 166 Gas
166 Hard Coal,166,1.0,PQ,0.0,0.0,False,flexible,,1324.5,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 166 Hard Coal
167 Gas,167,1.0,PQ,0.0,0.0,False,flexible,,26.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 167 Gas
170 Gas,170,1.0,PQ,0.0,0.0,False,flexible,,32.9,0.0,0.0,1.0,1.0,Gas,50.0,Generator 170 Gas
170 Nuclear,170,1.0,PQ,0.0,0.0,False,flexible,,1360.0,0.0,0.0,1.0,1.0,Nuclear,8.0,Generator 170 Nuclear
170 Waste,170,1.0,PQ,0.0,0.0,False,flexible,,61.5,0.0,0.0,1.0,1.0,Waste,6.0,Generator 170 Waste
174 Gas,174,1.0,PQ,0.0,0.0,False,flexible,,24.5,0.0,0.0,1.0,1.0,Gas,50.0,Generator 174 Gas
174 Other,174,1.0,PQ,0.0,0.0,False,flexible,,38.0,0.0,0.0,1.0,1.0,Other,32.0,Generator 174 Other
175 Hard Coal,175,1.0,PQ,0.0,0.0,False,flexible,,95.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 175 Hard Coal
175 Other,175,1.0,PQ,0.0,0.0,False,flexible,,21.0,0.0,0.0,1.0,1.0,Other,32.0,Generator 175 Other
178 Storage Hydro,178,1.0,PQ,0.0,0.0,False,flexible,,15.0,0.0,0.0,1.0,1.0,Storage Hydro,3.0,Generator 178 Storage Hydro
179 Gas,179,1.0,PQ,0.0,0.0,False,flexible,,37.5,0.0,0.0,1.0,1.0,Gas,50.0,Generator 179 Gas
18 Gas,18,1.0,PQ,0.0,0.0,False,flexible,,37.7,0.0,0.0,1.0,1.0,Gas,50.0,Generator 18 Gas
180 Oil,180,1.0,PQ,0.0,0.0,False,flexible,,333.5,0.0,0.0,1.0,1.0,Oil,100.0,Generator 180 Oil
180 Waste,180,1.0,PQ,0.0,0.0,False,flexible,,28.9,0.0,0.0,1.0,1.0,Waste,6.0,Generator 180 Waste
183 Brown Coal,183,1.0,PQ,0.0,0.0,False,flexible,,857.0,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 183 Brown Coal
183 Gas,183,1.0,PQ,0.0,0.0,False,flexible,,22.5,0.0,0.0,1.0,1.0,Gas,50.0,Generator 183 Gas
183 Hard Coal,183,1.0,PQ,0.0,0.0,False,flexible,,766.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 183 Hard Coal
183 Oil,183,1.0,PQ,0.0,0.0,False,flexible,,38.0,0.0,0.0,1.0,1.0,Oil,100.0,Generator 183 Oil
183 Waste,183,1.0,PQ,0.0,0.0,False,flexible,,24.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 183 Waste
184_220kV Gas,184_220kV,1.0,PQ,0.0,0.0,False,flexible,,22.3,0.0,0.0,1.0,1.0,Gas,50.0,Generator 184_220kV Gas
185 Waste,185,1.0,PQ,0.0,0.0,False,flexible,,33.1,0.0,0.0,1.0,1.0,Waste,6.0,Generator 185 Waste
188 Gas,188,1.0,PQ,0.0,0.0,False,flexible,,274.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 188 Gas
18_220kV Gas,18_220kV,1.0,PQ,0.0,0.0,False,flexible,,15.1,0.0,0.0,1.0,1.0,Gas,50.0,Generator 18_220kV Gas
19 Gas,19,1.0,PQ,0.0,0.0,False,flexible,,10.6,0.0,0.0,1.0,1.0,Gas,50.0,Generator 19 Gas
190 Gas,190,1.0,PQ,0.0,0.0,False,flexible,,13.4,0.0,0.0,1.0,1.0,Gas,50.0,Generator 190 Gas
194 Hard Coal,194,1.0,PQ,0.0,0.0,False,flexible,,1017.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 194 Hard Coal
196 Other,196,1.0,PQ,0.0,0.0,False,flexible,,700.0,0.0,0.0,1.0,1.0,Other,32.0,Generator 196 Other
198 Storage Hydro,198,1.0,PQ,0.0,0.0,False,flexible,,79.0,0.0,0.0,1.0,1.0,Storage Hydro,3.0,Generator 198 Storage Hydro
199 Other,199,1.0,PQ,0.0,0.0,False,flexible,,19.7,0.0,0.0,1.0,1.0,Other,32.0,Generator 199 Other
200 Brown Coal,200,1.0,PQ,0.0,0.0,False,flexible,,27.5,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 200 Brown Coal
201_220kV Gas,201_220kV,1.0,PQ,0.0,0.0,False,flexible,,37.1,0.0,0.0,1.0,1.0,Gas,50.0,Generator 201_220kV Gas
202 Gas,202,1.0,PQ,0.0,0.0,False,flexible,,1837.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 202 Gas
202 Nuclear,202,1.0,PQ,0.0,0.0,False,flexible,,1329.0,0.0,0.0,1.0,1.0,Nuclear,8.0,Generator 202 Nuclear
204 Hard Coal,204,1.0,PQ,0.0,0.0,False,flexible,,310.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 204 Hard Coal
205 Gas,205,1.0,PQ,0.0,0.0,False,flexible,,417.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 205 Gas
206 Run of River,206,1.0,PQ,0.0,0.0,False,flexible,,40.1,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 206 Run of River
21 Gas,21,1.0,PQ,0.0,0.0,False,flexible,,127.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 21 Gas
21 Hard Coal,21,1.0,PQ,0.0,0.0,False,flexible,,194.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 21 Hard Coal
21 Waste,21,1.0,PQ,0.0,0.0,False,flexible,,16.4,0.0,0.0,1.0,1.0,Waste,6.0,Generator 21 Waste
210 Waste,210,1.0,PQ,0.0,0.0,False,flexible,,14.7,0.0,0.0,1.0,1.0,Waste,6.0,Generator 210 Waste
211 Hard Coal,211,1.0,PQ,0.0,0.0,False,flexible,,721.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 211 Hard Coal
211 Waste,211,1.0,PQ,0.0,0.0,False,flexible,,11.6,0.0,0.0,1.0,1.0,Waste,6.0,Generator 211 Waste
212 Run of River,212,1.0,PQ,0.0,0.0,False,flexible,,24.0,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 212 Run of River
213 Gas,213,1.0,PQ,0.0,0.0,False,flexible,,104.6,0.0,0.0,1.0,1.0,Gas,50.0,Generator 213 Gas
215 Gas,215,1.0,PQ,0.0,0.0,False,flexible,,47.2,0.0,0.0,1.0,1.0,Gas,50.0,Generator 215 Gas
215 Waste,215,1.0,PQ,0.0,0.0,False,flexible,,73.4,0.0,0.0,1.0,1.0,Waste,6.0,Generator 215 Waste
217 Gas,217,1.0,PQ,0.0,0.0,False,flexible,,108.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 217 Gas
217 Hard Coal,217,1.0,PQ,0.0,0.0,False,flexible,,788.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 217 Hard Coal
217 Waste,217,1.0,PQ,0.0,0.0,False,flexible,,17.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 217 Waste
219 Gas,219,1.0,PQ,0.0,0.0,False,flexible,,254.5,0.0,0.0,1.0,1.0,Gas,50.0,Generator 219 Gas
219 Waste,219,1.0,PQ,0.0,0.0,False,flexible,,34.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 219 Waste
22 Oil,22,1.0,PQ,0.0,0.0,False,flexible,,298.5,0.0,0.0,1.0,1.0,Oil,100.0,Generator 22 Oil
221 Gas,221,1.0,PQ,0.0,0.0,False,flexible,,9.2,0.0,0.0,1.0,1.0,Gas,50.0,Generator 221 Gas
223 Gas,223,1.0,PQ,0.0,0.0,False,flexible,,87.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 223 Gas
225 Gas,225,1.0,PQ,0.0,0.0,False,flexible,,11.6,0.0,0.0,1.0,1.0,Gas,50.0,Generator 225 Gas
225 Hard Coal,225,1.0,PQ,0.0,0.0,False,flexible,,13.4,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 225 Hard Coal
225 Other,225,1.0,PQ,0.0,0.0,False,flexible,,56.0,0.0,0.0,1.0,1.0,Other,32.0,Generator 225 Other
225 Run of River,225,1.0,PQ,0.0,0.0,False,flexible,,4.6,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 225 Run of River
225 Waste,225,1.0,PQ,0.0,0.0,False,flexible,,15.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 225 Waste
226 Gas,226,1.0,PQ,0.0,0.0,False,flexible,,20.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 226 Gas
226 Run of River,226,1.0,PQ,0.0,0.0,False,flexible,,0.1,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 226 Run of River
227 Gas,227,1.0,PQ,0.0,0.0,False,flexible,,95.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 227 Gas
227 Run of River,227,1.0,PQ,0.0,0.0,False,flexible,,11.0,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 227 Run of River
229 Gas,229,1.0,PQ,0.0,0.0,False,flexible,,2301.8,0.0,0.0,1.0,1.0,Gas,50.0,Generator 229 Gas
229 Hard Coal,229,1.0,PQ,0.0,0.0,False,flexible,,1958.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 229 Hard Coal
230 Geothermal,230,1.0,PQ,0.0,0.0,False,flexible,,7.8,0.0,0.0,1.0,1.0,Geothermal,26.0,Generator 230 Geothermal
232 Gas,232,1.0,PQ,0.0,0.0,False,flexible,,86.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 232 Gas
233 Gas,233,1.0,PQ,0.0,0.0,False,flexible,,4.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 233 Gas
233_220kV Hard Coal,233_220kV,1.0,PQ,0.0,0.0,False,flexible,,20.7,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 233_220kV Hard Coal
238 Gas,238,1.0,PQ,0.0,0.0,False,flexible,,7.4,0.0,0.0,1.0,1.0,Gas,50.0,Generator 238 Gas
238 Run of River,238,1.0,PQ,0.0,0.0,False,flexible,,12.1,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 238 Run of River
238 Storage Hydro,238,1.0,PQ,0.0,0.0,False,flexible,,392.0,0.0,0.0,1.0,1.0,Storage Hydro,3.0,Generator 238 Storage Hydro
24 Gas,24,1.0,PQ,0.0,0.0,False,flexible,,2.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 24 Gas
240 Gas,240,1.0,PQ,0.0,0.0,False,flexible,,126.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 240 Gas
240 Storage Hydro,240,1.0,PQ,0.0,0.0,False,flexible,,82.5,0.0,0.0,1.0,1.0,Storage Hydro,3.0,Generator 240 Storage Hydro
241 Brown Coal,241,1.0,PQ,0.0,0.0,False,flexible,,465.0,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 241 Brown Coal
246 Hard Coal,246,1.0,PQ,0.0,0.0,False,flexible,,510.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 246 Hard Coal
247 Oil,247,1.0,PQ,0.0,0.0,False,flexible,,34.5,0.0,0.0,1.0,1.0,Oil,100.0,Generator 247 Oil
248_220kV Hard Coal,248_220kV,1.0,PQ,0.0,0.0,False,flexible,,956.5,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 248_220kV Hard Coal
249 Waste,249,1.0,PQ,0.0,0.0,False,flexible,,14.6,0.0,0.0,1.0,1.0,Waste,6.0,Generator 249 Waste
250 Run of River,250,1.0,PQ,0.0,0.0,False,flexible,,46.9,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 250 Run of River
252 Gas,252,1.0,PQ,0.0,0.0,False,flexible,,15.1,0.0,0.0,1.0,1.0,Gas,50.0,Generator 252 Gas
254 Gas,254,1.0,PQ,0.0,0.0,False,flexible,,10.7,0.0,0.0,1.0,1.0,Gas,50.0,Generator 254 Gas
255 Run of River,255,1.0,PQ,0.0,0.0,False,flexible,,84.8,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 255 Run of River
256 Run of River,256,1.0,PQ,0.0,0.0,False,flexible,,25.4,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 256 Run of River
258 Gas,258,1.0,PQ,0.0,0.0,False,flexible,,32.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 258 Gas
258 Other,258,1.0,PQ,0.0,0.0,False,flexible,,28.0,0.0,0.0,1.0,1.0,Other,32.0,Generator 258 Other
26 Nuclear,26,1.0,PQ,0.0,0.0,False,flexible,,1410.0,0.0,0.0,1.0,1.0,Nuclear,8.0,Generator 26 Nuclear
26 Run of River,26,1.0,PQ,0.0,0.0,False,flexible,,104.4,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 26 Run of River
262 Gas,262,1.0,PQ,0.0,0.0,False,flexible,,36.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 262 Gas
263 Storage Hydro,263,1.0,PQ,0.0,0.0,False,flexible,,500.0,0.0,0.0,1.0,1.0,Storage Hydro,3.0,Generator 263 Storage Hydro
266 Gas,266,1.0,PQ,0.0,0.0,False,flexible,,59.9,0.0,0.0,1.0,1.0,Gas,50.0,Generator 266 Gas
266 Oil,266,1.0,PQ,0.0,0.0,False,flexible,,92.8,0.0,0.0,1.0,1.0,Oil,100.0,Generator 266 Oil
266 Run of River,266,1.0,PQ,0.0,0.0,False,flexible,,214.0,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 266 Run of River
266 Waste,266,1.0,PQ,0.0,0.0,False,flexible,,9.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 266 Waste
26_220kV Hard Coal,26_220kV,1.0,PQ,0.0,0.0,False,flexible,,725.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 26_220kV Hard Coal
270 Gas,270,1.0,PQ,0.0,0.0,False,flexible,,50.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 270 Gas
271 Gas,271,1.0,PQ,0.0,0.0,False,flexible,,490.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 271 Gas
273 Other,273,1.0,PQ,0.0,0.0,False,flexible,,176.1,0.0,0.0,1.0,1.0,Other,32.0,Generator 273 Other
275 Gas,275,1.0,PQ,0.0,0.0,False,flexible,,42.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 275 Gas
275 Other,275,1.0,PQ,0.0,0.0,False,flexible,,100.0,0.0,0.0,1.0,1.0,Other,32.0,Generator 275 Other
275 Waste,275,1.0,PQ,0.0,0.0,False,flexible,,12.5,0.0,0.0,1.0,1.0,Waste,6.0,Generator 275 Waste
276 Run of River,276,1.0,PQ,0.0,0.0,False,flexible,,16.0,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 276 Run of River
279_220kV Brown Coal,279_220kV,1.0,PQ,0.0,0.0,False,flexible,,90.8,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 279_220kV Brown Coal
28 Hard Coal,28,1.0,PQ,0.0,0.0,False,flexible,,260.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 28 Hard Coal
28 Oil,28,1.0,PQ,0.0,0.0,False,flexible,,101.0,0.0,0.0,1.0,1.0,Oil,100.0,Generator 28 Oil
28 Run of River,28,1.0,PQ,0.0,0.0,False,flexible,,128.7,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 28 Run of River
281_220kV Gas,281_220kV,1.0,PQ,0.0,0.0,False,flexible,,74.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 281_220kV Gas
282_220kV Gas,282_220kV,1.0,PQ,0.0,0.0,False,flexible,,27.4,0.0,0.0,1.0,1.0,Gas,50.0,Generator 282_220kV Gas
282_220kV Oil,282_220kV,1.0,PQ,0.0,0.0,False,flexible,,17.0,0.0,0.0,1.0,1.0,Oil,100.0,Generator 282_220kV Oil
283 Hard Coal,283,1.0,PQ,0.0,0.0,False,flexible,,370.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 283 Hard Coal
285 Gas,285,1.0,PQ,0.0,0.0,False,flexible,,18.1,0.0,0.0,1.0,1.0,Gas,50.0,Generator 285 Gas
288 Hard Coal,288,1.0,PQ,0.0,0.0,False,flexible,,18.5,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 288 Hard Coal
289 Gas,289,1.0,PQ,0.0,0.0,False,flexible,,33.4,0.0,0.0,1.0,1.0,Gas,50.0,Generator 289 Gas
289 Hard Coal,289,1.0,PQ,0.0,0.0,False,flexible,,794.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 289 Hard Coal
290 Waste,290,1.0,PQ,0.0,0.0,False,flexible,,15.7,0.0,0.0,1.0,1.0,Waste,6.0,Generator 290 Waste
291 Brown Coal,291,1.0,PQ,0.0,0.0,False,flexible,,1105.0,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 291 Brown Coal
292 Gas,292,1.0,PQ,0.0,0.0,False,flexible,,132.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 292 Gas
292 Waste,292,1.0,PQ,0.0,0.0,False,flexible,,24.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 292 Waste
292_220kV Brown Coal,292_220kV,1.0,PQ,0.0,0.0,False,flexible,,20.3,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 292_220kV Brown Coal
292_220kV Gas,292_220kV,1.0,PQ,0.0,0.0,False,flexible,,84.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 292_220kV Gas
292_220kV Waste,292_220kV,1.0,PQ,0.0,0.0,False,flexible,,35.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 292_220kV Waste
294 Gas,294,1.0,PQ,0.0,0.0,False,flexible,,13.5,0.0,0.0,1.0,1.0,Gas,50.0,Generator 294 Gas
