attribute,type,dtype,unit,default,description,status,dynamic,nullable
ramp_limit_down,static or series,float,per unit,,"Maximum active power decrease from one snapshot to the next, per unit of the nominal power. Ignored if NaN. Does not consider snapshot weightings.",Input (optional),True,True
ramp_limit_start_up,float,float,per unit,,"Maximum active power increase at start up, per unit of the nominal power. Only used if `committable=True`. Ignored if NaN.",Input (optional),False,True
ramp_limit_shut_down,float,float,per unit,,"Maximum active power decrease at shut down, per unit of the nominal power. Only used if `committable=True`. Ignored if NaN.",Input (optional),False,True
weight,float,float,,1,Weighting of a generator. Only used for network clustering.,Input (optional),False,False
p,series,float,MW,0.,Active power at bus (positive if net generation),Output,True,False
q,series,float,MVar,0.,Reactive power (positive if net generation),Output,True,False
p_nom_opt,float,float,MW,0.,Optimised nominal capacity.,Output,False,False
status,series,float,,1,"Status in the snapshot (1 is on, 0 is off). Only returned if `committable=True`.",Output,True,False
start_up,series,float,,1.,"Whether the unit was started in the snapshot (1 is yes, 0 is no). Only returned if `committable=True`.",Output,True,False
shut_down,series,float,,1.,"Whether the unit was shut down in the snapshot (1 is yes, 0 is no).  Only returned if `committable=True`.",Output,True,False
mu_upper,series,float,currency/MWh,,Shadow price of upper `p_nom` limit,Output,True,True
mu_lower,series,float,currency/MWh,,Shadow price of lower `p_nom` limit,Output,True,True
mu_p_set,series,float,currency/MWh,,Shadow price of fixed power generation `p_set`,Output,True,True
mu_ramp_limit_up,series,float,currency/MWh,,Shadow price of upper ramp up limit,Output,True,True
mu_ramp_limit_down,series,float,currency/MWh,,Shadow price of lower ramp down limit,Output,True,True
