,VIC,VIC,SA,SA,NSW,NSW
2011-01-11 11:00:00,0.513,0.0,0.611,0.0,0.464,0.0
2011-01-11 12:00:00,0.556,0.0,0.595,0.0,0.471,0.0
2011-01-11 13:00:00,0.585,0.0,0.572,0.0,0.462,0.0
2011-01-11 14:00:00,0.624,0.0,0.54,0.0,0.47,0.0
2011-01-11 15:00:00,0.647,0.0,0.508,0.0,0.481,0.0
2011-01-11 16:00:00,0.667,0.0,0.475,0.0,0.493,0.0
2011-01-11 17:00:00,0.686,0.0,0.433,0.0,0.496,0.0
2011-01-11 18:00:00,0.694,0.0,0.404,0.0,0.481,0.0
2011-01-11 19:00:00,0.699,0.0,0.374,0.0,0.465,0.0
2011-01-11 20:00:00,0.71,0.0,0.35,0.0,0.442,0.002
2011-01-11 21:00:00,0.715,0.014,0.325,0.01,0.392,0.049
2011-01-11 22:00:00,0.658,0.05,0.248,0.083,0.331,0.147
2011-01-11 23:00:00,0.66,0.115,0.241,0.202,0.348,0.25
2011-01-12 00:00:00,0.659,0.179,0.211,0.329,0.333,0.34
2011-01-12 01:00:00,0.63,0.252,0.175,0.426,0.293,0.372
2011-01-12 02:00:00,0.637,0.317,0.154,0.495,0.242,0.427
2011-01-12 03:00:00,0.647,0.358,0.146,0.533,0.215,0.438
2011-01-12 04:00:00,0.627,0.406,0.14,0.515,0.197,0.397
2011-01-12 05:00:00,0.581,0.34,0.146,0.471,0.18,0.371
2011-01-12 06:00:00,0.528,0.283,0.169,0.387,0.178,0.286
2011-01-12 07:00:00,0.472,0.216,0.203,0.287,0.174,0.195
2011-01-12 08:00:00,0.419,0.124,0.24,0.172,0.165,0.081
2011-01-12 09:00:00,0.396,0.041,0.28,0.062,0.179,0.021
2011-01-12 10:00:00,0.379,0.0,0.274,0.007,0.283,0.0
2011-01-12 11:00:00,0.365,0.0,0.303,0.0,0.283,0.0
2011-01-12 12:00:00,0.365,0.0,0.317,0.0,0.3,0.0
2011-01-12 13:00:00,0.345,0.0,0.311,0.0,0.341,0.0
2011-01-12 14:00:00,0.302,0.0,0.296,0.0,0.37,0.0
2011-01-12 15:00:00,0.274,0.0,0.277,0.0,0.409,0.0
2011-01-12 16:00:00,0.265,0.0,0.265,0.0,0.439,0.0
2011-01-12 17:00:00,0.25,0.0,0.257,0.0,0.479,0.0
2011-01-12 18:00:00,0.233,0.0,0.257,0.0,0.526,0.0
2011-01-12 19:00:00,0.221,0.0,0.256,0.0,0.578,0.0
2011-01-12 20:00:00,0.222,0.002,0.258,0.0,0.627,0.002
2011-01-12 21:00:00,0.228,0.025,0.259,0.003,0.653,0.042
2011-01-12 22:00:00,0.194,0.059,0.229,0.039,0.646,0.121
2011-01-12 23:00:00,0.231,0.09,0.231,0.118,0.706,0.208
2011-01-13 00:00:00,0.31,0.12,0.227,0.209,0.754,0.277
2011-01-13 01:00:00,0.42,0.119,0.237,0.295,0.782,0.329
2011-01-13 02:00:00,0.542,0.133,0.259,0.365,0.796,0.35
2011-01-13 03:00:00,0.656,0.123,0.28,0.41,0.801,0.355
2011-01-13 04:00:00,0.747,0.109,0.299,0.43,0.803,0.345
2011-01-13 05:00:00,0.798,0.094,0.316,0.404,0.797,0.309
2011-01-13 06:00:00,0.834,0.077,0.317,0.353,0.788,0.249
2011-01-13 07:00:00,0.877,0.055,0.31,0.269,0.776,0.148
2011-01-13 08:00:00,0.902,0.023,0.29,0.167,0.757,0.063
2011-01-13 09:00:00,0.907,0.006,0.273,0.05,0.756,0.014
2011-01-13 10:00:00,0.91,0.0,0.233,0.007,0.793,0.0
2011-01-13 11:00:00,0.911,0.0,0.248,0.0,0.793,0.0
2011-01-13 12:00:00,0.903,0.0,0.235,0.0,0.775,0.0
2011-01-13 13:00:00,0.872,0.0,0.208,0.0,0.739,0.0
2011-01-13 14:00:00,0.818,0.0,0.169,0.0,0.699,0.0
2011-01-13 15:00:00,0.764,0.0,0.132,0.0,0.662,0.0
2011-01-13 16:00:00,0.719,0.0,0.106,0.0,0.622,0.0
2011-01-13 17:00:00,0.681,0.0,0.093,0.0,0.581,0.0
2011-01-13 18:00:00,0.651,0.0,0.09,0.0,0.55,0.0
2011-01-13 19:00:00,0.62,0.0,0.094,0.0,0.527,0.0
2011-01-13 20:00:00,0.574,0.001,0.097,0.0,0.511,0.003
2011-01-13 21:00:00,0.528,0.019,0.106,0.01,0.471,0.048
2011-01-13 22:00:00,0.456,0.069,0.078,0.099,0.392,0.141
2011-01-13 23:00:00,0.421,0.14,0.058,0.257,0.375,0.249
2011-01-14 00:00:00,0.406,0.233,0.06,0.412,0.337,0.346
2011-01-14 01:00:00,0.413,0.308,0.057,0.533,0.296,0.403
2011-01-14 02:00:00,0.386,0.384,0.052,0.616,0.266,0.45
2011-01-14 03:00:00,0.344,0.431,0.061,0.659,0.224,0.461
2011-01-14 04:00:00,0.306,0.457,0.068,0.66,0.194,0.443
2011-01-14 05:00:00,0.277,0.437,0.071,0.617,0.177,0.391
2011-01-14 06:00:00,0.246,0.391,0.075,0.531,0.162,0.306
2011-01-14 07:00:00,0.221,0.253,0.082,0.403,0.148,0.186
2011-01-14 08:00:00,0.192,0.139,0.089,0.231,0.135,0.082
2011-01-14 09:00:00,0.165,0.028,0.116,0.055,0.128,0.015
2011-01-14 10:00:00,0.178,0.0,0.19,0.007,0.115,0.0
2011-01-14 11:00:00,0.165,0.0,0.284,0.0,0.114,0.0
2011-01-14 12:00:00,0.162,0.0,0.339,0.0,0.113,0.0
2011-01-14 13:00:00,0.152,0.0,0.353,0.0,0.114,0.0
2011-01-14 14:00:00,0.136,0.0,0.356,0.0,0.114,0.0
2011-01-14 15:00:00,0.124,0.0,0.35,0.0,0.111,0.0
2011-01-14 16:00:00,0.114,0.0,0.327,0.0,0.111,0.0
2011-01-14 17:00:00,0.106,0.0,0.293,0.0,0.117,0.0
2011-01-14 18:00:00,0.103,0.0,0.264,0.0,0.125,0.0
2011-01-14 19:00:00,0.11,0.0,0.24,0.0,0.131,0.0
2011-01-14 20:00:00,0.116,0.002,0.229,0.0,0.132,0.002
2011-01-14 21:00:00,0.109,0.062,0.217,0.01,0.122,0.046
2011-01-14 22:00:00,0.106,0.205,0.181,0.102,0.072,0.146
2011-01-14 23:00:00,0.112,0.375,0.135,0.26,0.077,0.265
2011-01-15 00:00:00,0.11,0.52,0.126,0.413,0.086,0.372
2011-01-15 01:00:00,0.108,0.63,0.119,0.531,0.091,0.438
2011-01-15 02:00:00,0.108,0.699,0.126,0.611,0.098,0.496
2011-01-15 03:00:00,0.114,0.717,0.151,0.648,0.105,0.5
2011-01-15 04:00:00,0.123,0.694,0.188,0.644,0.108,0.481
2011-01-15 05:00:00,0.134,0.626,0.233,0.603,0.112,0.424
2011-01-15 06:00:00,0.139,0.512,0.28,0.52,0.117,0.348
2011-01-15 07:00:00,0.137,0.352,0.332,0.391,0.124,0.231
2011-01-15 08:00:00,0.122,0.157,0.375,0.223,0.117,0.095
2011-01-15 09:00:00,0.102,0.028,0.422,0.054,0.12,0.018
2011-01-15 10:00:00,0.074,0.0,0.477,0.006,0.136,0.0
2011-01-15 11:00:00,0.062,0.0,0.51,0.0,0.147,0.0
2011-01-15 12:00:00,0.051,0.0,0.523,0.0,0.145,0.0
2011-01-15 13:00:00,0.036,0.0,0.514,0.0,0.135,0.0
2011-01-15 14:00:00,0.026,0.0,0.494,0.0,0.127,0.0
2011-01-15 15:00:00,0.016,0.0,0.47,0.0,0.113,0.0
2011-01-15 16:00:00,0.008,0.0,0.441,0.0,0.101,0.0
2011-01-15 17:00:00,0.006,0.0,0.419,0.0,0.093,0.0
2011-01-15 18:00:00,0.008,0.0,0.408,0.0,0.088,0.0
2011-01-15 19:00:00,0.014,0.0,0.396,0.0,0.085,0.0
2011-01-15 20:00:00,0.023,0.002,0.386,0.0,0.081,0.002
2011-01-15 21:00:00,0.025,0.066,0.349,0.009,0.061,0.054
2011-01-15 22:00:00,0.039,0.216,0.301,0.097,0.037,0.175
2011-01-15 23:00:00,0.051,0.386,0.272,0.253,0.024,0.311
2011-01-16 00:00:00,0.067,0.526,0.255,0.407,0.022,0.427
2011-01-16 01:00:00,0.088,0.63,0.251,0.53,0.023,0.513
2011-01-16 02:00:00,0.117,0.683,0.249,0.612,0.025,0.57
2011-01-16 03:00:00,0.153,0.688,0.262,0.648,0.029,0.574
2011-01-16 04:00:00,0.193,0.656,0.292,0.651,0.034,0.566
2011-01-16 05:00:00,0.231,0.59,0.341,0.608,0.04,0.5
2011-01-16 06:00:00,0.287,0.482,0.407,0.524,0.051,0.402
2011-01-16 07:00:00,0.341,0.339,0.468,0.399,0.067,0.268
2011-01-16 08:00:00,0.369,0.156,0.529,0.23,0.089,0.099
2011-01-16 09:00:00,0.381,0.029,0.578,0.056,0.119,0.018
2011-01-16 10:00:00,0.451,0.0,0.586,0.007,0.198,0.0
2011-01-16 11:00:00,0.461,0.0,0.618,0.0,0.238,0.0
2011-01-16 12:00:00,0.462,0.0,0.614,0.0,0.261,0.0
2011-01-16 13:00:00,0.461,0.0,0.589,0.0,0.279,0.0
2011-01-16 14:00:00,0.467,0.0,0.542,0.0,0.299,0.0
2011-01-16 15:00:00,0.48,0.0,0.506,0.0,0.326,0.0
