name,bus,sign,control,p_min_pu_fixed,capital_cost,p_nom_extendable,dispatch,p_nom_max,p_nom,p_nom_opt,p_nom_min,p_max_pu_fixed,efficiency,source,marginal_cost,standing_loss,cyclic_state_of_charge,max_hours,efficiency_store,state_of_charge_initial,efficiency_dispatch,obj
423 Pumped Hydro,423,1.0,PQ,-1.0,0.0,False,flexible,,360.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 423 Pumped Hydro
430 Pumped Hydro,430,1.0,PQ,-1.0,0.0,False,flexible,,100.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 430 Pumped Hydro
454 Pumped Hydro,454,1.0,PQ,-1.0,0.0,False,flexible,,144.5,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 454 Pumped Hydro
469 Pumped Hydro,469,1.0,PQ,-1.0,0.0,False,flexible,,525.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 469 Pumped Hydro
51 Pumped Hydro,51,1.0,PQ,-1.0,0.0,False,flexible,,623.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 51 Pumped Hydro
55 Pumped Hydro,55,1.0,PQ,-1.0,0.0,False,flexible,,100.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 55 Pumped Hydro
63 Pumped Hydro,63,1.0,PQ,-1.0,0.0,False,flexible,,44.5,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 63 Pumped Hydro
66 Pumped Hydro,66,1.0,PQ,-1.0,0.0,False,flexible,,227.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 66 Pumped Hydro
78 Pumped Hydro,78,1.0,PQ,-1.0,0.0,False,flexible,,79.8,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 78 Pumped Hydro
8 Pumped Hydro,8,1.0,PQ,-1.0,0.0,False,flexible,,119.1,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 8 Pumped Hydro
86 Pumped Hydro,86,1.0,PQ,-1.0,0.0,False,flexible,,295.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 86 Pumped Hydro
