attribute,type,unit,default,description,status
power_factor_min,float,n/a,0.9,"Minimum allowed power factor, required when control_strategy is chosen  ""cosphi_p"".  Controller will start operating with power_factor_min when (see description for p_ref )  p_set / p_ref *100 > set_p2. For further details  https://pypsa.readthedocs.io/en/latest/power_flow.html .",Input (optional)
p,series,MW,0,active power at bus (positive if net generation),Output
q,series,MVar,0,reactive power (positive if net generation),Output
p_nom_opt,float,MW,0,Optimised nominal power.,Output
status,series,n/a,1,"Status (1 is on, 0 is off). Only outputted if committable is True.",Output
mu_upper,series,currency/MWh,0,Shadow price of upper p_nom limit,Output
mu_lower,series,currency/MWh,0,Shadow price of lower p_nom limit,Output
mu_p_set,series,currency/MWh,0,Shadow price of fixed power generation p_set,Output
mu_ramp_limit_up,series,currency/MWh,0,Shadow price of upper ramp up limit,Output
mu_ramp_limit_down,series,currency/MWh,0,Shadow price of lower ramp down limit,Output
