name,bus0,bus1,type,s_nom,length,num_parallel,wkt_srid_4326,voltage,from_relation,r_ohmkm,ref,cables,x_ohmkm,wires,osm_name,operator,c_nfkm,frequency,length_m,i_th_max_a
21,25,26,Al/St 240/40 4-bundle 380.0,1711.26619788,8.193,1.0,"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.34400177215961 53.8517774635399)",380000.0,114738.0,,308,6.0,,2.0,308 AKW Brokdorf - UW Wilster,TenneT,,50.0,8193.0,
22,25,22,Al/St 240/40 4-bundle 380.0,855.633098939,10.275,0.5,"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.20210420095253 53.8951574100045)",380000.0,114742.0,,309,3.0,,2.0,309 AKW Brunsbüttel - UW Wilster,TenneT,,50.0,10275.0,
23,23,27,Al/St 240/40 2-bundle 220.0,495.366530965,41.954,1.0,"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.52960512906833 53.6189906941937)",220000.0,114747.0,,,3.0,,2.0,AKW Stade - UW Hamburg Nord,TenneT,,,41954.0,
24,28,23,Al/St 240/40 2-bundle 220.0,495.366530965,19.423,1.0,"SRID=4326;LINESTRING(9.77654483874895 53.6906352606291,9.98853660865951 53.766277668594)",220000.0,114752.0,,,3.0,,2.0,UW Kummerfeld - UW Hamburg Nord,TenneT,,,19423.0,
25,8,21,Al/St 240/40 4-bundle 380.0,855.633098939,28.576,0.5,"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.1575015165126 53.5551316685834)",380000.0,114782.0,,991;992,3.0,,2.0,991;992,50Hertz,,50.0,28576.0,
26,9,29,Al/St 240/40 4-bundle 380.0,1711.26619788,25.571,1.0,"SRID=4326;LINESTRING(10.3787705903765 53.2197927685849,10.3821666628198 52.9932540372914)",380000.0,114789.0,,,3.0,,4.0,3021 Lüneburg - Stadorf,TenneT,,50.0,25571.0,
27,30,25,Al/St 240/40 4-bundle 380.0,855.633098939,57.641,0.5,"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,9.34476098807139 53.9218370583068)",380000.0,114795.0,,307,3.0,,2.0,307 UW Wilster - UW Dollern,TenneT,,50.0,57641.0,
28,31,32,Al/St 240/40 4-bundle 380.0,1283.44964841,129.863,0.75,"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,11.1228545605428 50.9989090670144)",380000.0,129420.0,0.033333,449,3.0,0.333333,3.0,449 Mecklar - Vieselbach,50Hertz,10.275,50.0,129863.0,1.95
29,32,33,Al/St 240/40 4-bundle 380.0,1283.44964841,72.614,0.75,"SRID=4326;LINESTRING(11.1228545605428 50.9989090670144,10.3859411643633 51.0018133014781)",380000.0,129422.0,0.033333,454,3.0,0.333333,3.0,454 Eisenach - Vieselbach,50Hertz,10.275,50.0,72614.0,1.95
30,34,35,Al/St 240/40 2-bundle 220.0,495.366530965,5.845,1.0,"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.08565059715704 53.605834192587)",220000.0,138889.0,0.08,209,3.0,0.32,2.0,209 weiß,TenneT,11.5,50.0,5845.0,1.3
31,35,36,Al/St 240/40 2-bundle 220.0,495.366530965,2.65,1.0,"SRID=4326;LINESTRING(8.08565059715704 53.605834192587,8.06005695814032 53.6202025750861)",220000.0,138892.0,0.08,211,3.0,0.32,2.0,211 rot,TenneT,11.5,50.0,2650.0,1.3
32,2_220kV,6,Al/St 240/40 2-bundle 220.0,495.366530965,74.645,1.0,"SRID=4326;LINESTRING(9.11321007472722 52.5438533223737,9.91814864613865 52.3799963125719)",220000.0,142684.0,0.08,2008,3.0,0.32,2.0,Leitung 2008,TenneT,11.5,50.0,74645.0,1.3
33,37,10,Al/St 240/40 4-bundle 380.0,1283.44964841,104.169,0.75,"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,12.9416466019288 52.5621144045848)",380000.0,145483.0,0.033333,494,3.0,0.333333,3.0,494,50Hertz,10.275,50.0,104169.0,1.95
34,10,38,Al/St 240/40 4-bundle 380.0,1283.44964841,29.669,0.75,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2115276454389 52.5806278102291)",380000.0,145484.0,0.033333,498,3.0,0.333333,3.0,498,50Hertz,10.275,50.0,29669.0,1.95
35,37,38,Al/St 240/40 4-bundle 380.0,2566.89929682,124.574,1.5,"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,13.2115276454389 52.5806278102291)",380000.0,145485.0,0.016667,493,6.0,0.166667,3.0,493,50Hertz,20.55,50.0,124574.0,3.9
36,39,40,Al/St 240/40 4-bundle 380.0,1283.44964841,195.877,0.75,"SRID=4326;LINESTRING(11.7273534150745 52.5689469938591,13.1433929102518 53.9081469774219)",380000.0,145508.0,0.033333,513,3.0,0.333333,3.0,513,50Hertz,10.275,50.0,195877.0,1.95
37,39,41,Al/St 240/40 4-bundle 380.0,1283.44964841,75.667,0.75,"SRID=4326;LINESTRING(11.7273534150745 52.5689469938591,11.8531057080136 53.0865444750041)",380000.0,145509.0,0.033333,516,3.0,0.333333,3.0,516,50Hertz,10.275,50.0,75667.0,1.95
38,42,41,Al/St 240/40 4-bundle 380.0,1283.44964841,134.922,0.75,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,11.8531057080136 53.0865444750041)",380000.0,145510.0,0.033333,514,3.0,0.333333,3.0,514,50Hertz,10.275,50.0,134922.0,1.95
39,18,42,Al/St 240/40 4-bundle 380.0,1283.44964841,149.01,0.75,"SRID=4326;LINESTRING(13.6834769666546 54.1390906406635,12.1869848227216 53.8157751724384)",380000.0,145513.0,0.033333,512,3.0,0.333333,3.0,512,50Hertz,10.275,50.0,149010.0,1.95
40,10_220kV,43,Al/St 240/40 2-bundle 220.0,495.366530965,55.092,1.0,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,12.4993659669539 52.4052284251973)",220000.0,240489.0,0.08,319,3.0,0.32,2.0,319,50Hertz,11.5,50.0,55092.0,1.3
41,10_220kV,43,Al/St 240/40 2-bundle 220.0,495.366530965,55.03,1.0,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,12.4993659669539 52.4052284251973)",220000.0,240490.0,0.08,324,3.0,0.32,2.0,324,50Hertz,11.5,50.0,55030.0,1.3
42,44,45,Al/St 240/40 2-bundle 220.0,495.366530965,38.755,1.0,"SRID=4326;LINESTRING(13.5061534469385 52.473822309174,13.3057532949594 52.2307818451873)",220000.0,241440.0,0.08,291,3.0,0.32,2.0,291,50Hertz,11.5,50.0,38755.0,1.3
43,44,46_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,9.168,1.0,"SRID=4326;LINESTRING(13.5061534469385 52.473822309174,13.5241987309997 52.5356342713481)",220000.0,241442.0,0.08,301,3.0,0.32,2.0,301 Wuhlheide - Marzahn,50Hertz,11.5,,9168.0,1.3
44,46,12,Al/St 240/40 4-bundle 380.0,1711.26619788,17.01,1.0,"SRID=4326;LINESTRING(13.5241987309997 52.5356342713481,13.7096697058228 52.5397952580643)",380000.0,252583.0,0.025,,3.0,0.25,4.0,495,50Hertz,13.7,,17010.0,2.6
45,46,12,Al/St 240/40 4-bundle 380.0,1711.26619788,17.029,1.0,"SRID=4326;LINESTRING(13.5241987309997 52.5356342713481,13.7096697058228 52.5397952580643)",380000.0,252584.0,0.025,,3.0,0.25,4.0,496,50Hertz,13.7,,17029.0,2.6
46,47,48,Al/St 240/40 4-bundle 380.0,427.81654947,7.717,0.25,"SRID=4326;LINESTRING(13.4564306927748 52.5214517451981,13.5370442127043 52.5374565238016)",380000.0,252589.0,0.1,,3.0,1.0,1.0,836 (BIN-FRH),Vattenfall_Europe_Berlin,3.425,50.0,7717.0,0.65
47,49,50,Al/St 240/40 4-bundle 380.0,855.633098939,5.531,0.5,"SRID=4326;LINESTRING(10.99933301239 52.2001419745622,10.9772332275028 52.1694333176707)",380000.0,3883857.0,,3845,3.0,,2.0,,,,50.0,5531.0,
48,31,33,Al/St 240/40 4-bundle 380.0,1283.44964841,58.378,0.75,"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,10.3859411643633 51.0018133014781)",380000.0,270536.0,0.033333,450,3.0,0.333333,3.0,450 Mecklar - Eisenach,50Hertz,10.275,50.0,58378.0,1.95
49,31,51,Al/St 240/40 4-bundle 380.0,3422.53239576,40.647,2.0,"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,9.25938382024592 51.0603668474477)",380000.0,270963.0,0.0125,3009,6.0,0.125,4.0,3009 Borken - Mecklar,TenneT,27.4,,40647.0,5.2
50,52,53,Al/St 240/40 4-bundle 380.0,1711.26619788,120.968,1.0,"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,7.75349546540486 48.0993557006259)",380000.0,272103.0,0.025,7510,3.0,0.25,4.0,Daxlanden - Eichstetten,EnBW,13.7,,120968.0,2.6
51,52,54,Al/St 240/40 4-bundle 380.0,1283.44964841,32.978,0.75,"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.43846751211921 49.2524597288652)",380000.0,272126.0,0.033333,7520,3.0,0.333333,3.0,Daxlanden - Philippsburg,EnBW,10.275,,32978.0,1.95
52,52_220kV,55,Al/St 240/40 2-bundle 220.0,990.733061929,38.219,2.0,"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.51211132935593 49.293965649573)",220000.0,272681.0,0.04,5100,3.0,0.16,4.0,Altlußheim - Daxlanden,EnBW,23.0,,38219.0,2.6
53,52_220kV,56_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,66.788,1.0,"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.62320967451897 49.3565822492832)",220000.0,272682.0,0.08,5100,3.0,0.32,2.0,Daxlanden - Neurott,EnBW,11.5,,66788.0,1.3
54,57,52_220kV,Al/St 240/40 2-bundle 220.0,990.733061929,14.179,2.0,"SRID=4326;LINESTRING(8.44554248929306 48.9860881753906,8.3133401659254 49.0090434643525)",220000.0,272728.0,0.04,,3.0,0.16,4.0,Seehof (220 kV Daxlanden-Oberwald),EnBW,23.0,,14179.0,2.6
55,57,58,Al/St 240/40 2-bundle 220.0,495.366530965,21.835,1.0,"SRID=4326;LINESTRING(8.44554248929306 48.9860881753906,8.64158406338239 48.8900524832355)",220000.0,272729.0,0.08,,3.0,0.32,2.0,Edelberg (220 kV Oberwald - Birkenfeld),EnBW,11.5,,21835.0,1.3
56,58,52_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,29.944,1.0,"SRID=4326;LINESTRING(8.64158406338239 48.8900524832355,8.3133401659254 49.0090434643525)",220000.0,272732.0,0.08,,3.0,0.32,2.0,Pfinztal (220 kV Daxlanden-Birkenfeld),EnBW,11.5,,29944.0,1.3
57,59,60,Al/St 240/40 4-bundle 380.0,855.633098939,56.049,0.5,"SRID=4326;LINESTRING(8.56374399744213 53.0317215835514,8.47470704898602 53.4286511943138)",380000.0,289000.0,0.05,,3.0,0.5,2.0,307,TenneT,6.85,50.0,56049.0,1.3
58,61_220kV,62,Al/St 240/40 2-bundle 220.0,247.683265482,38.653,0.5,"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,8.82002487241632 53.1073882918815)",220000.0,300029.0,0.16,,3.0,0.64,1.0,2144,TenneT,5.75,50.0,38653.0,0.65
59,30,61,Al/St 240/40 4-bundle 380.0,855.633098939,90.79,0.5,"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,8.51888180951659 53.2026352836834)",380000.0,309969.0,0.05,3103,3.0,0.5,2.0,Dollern-(Niedervieland/Unterweser)-Alfstedt,TenneT,6.85,50.0,90790.0,1.3
60,63,52_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,41.529,1.0,"SRID=4326;LINESTRING(8.12076909802284 48.7048354259965,8.3133401659254 49.0090434643525)",220000.0,339243.0,0.08,BUEHL-DAXLA,3.0,0.32,2.0,Bühl - Daxlanden,EnBW,11.5,50.0,41529.0,1.3
61,13,64,Al/St 240/40 4-bundle 380.0,1711.26619788,17.129,1.0,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.4407746483177 48.1718035473026)",380000.0,377770.0,0.025,439;440,3.0,0.25,4.0,Oberbachern - Menzing,Stadtwerke München,13.7,,17129.0,2.6
62,65,66,Al/St 240/40 4-bundle 380.0,1283.44964841,163.671,0.75,"SRID=4326;LINESTRING(13.3264049984725 50.3463721850552,12.1147644054101 49.6311550521523)",380000.0,395087.0,0.033333,441,3.0,0.333333,3.0,Etzenricht - Hradec,CEPS;TenneT TSO GmbH,10.275,,163671.0,1.95
63,59,67,Al/St 240/40 4-bundle 380.0,855.633098939,14.983,0.5,"SRID=4326;LINESTRING(8.56374399744213 53.0317215835514,8.69516075602312 53.0925360847799)",380000.0,445559.0,0.05,,3.0,0.5,2.0,303/307,TenneT,6.85,50.0,14983.0,1.3
64,61,67,Al/St 240/40 4-bundle 380.0,855.633098939,37.346,0.5,"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,8.69516075602312 53.0925360847799)",380000.0,445560.0,0.05,,3.0,0.5,2.0,307;303,TenneT,6.85,50.0,37346.0,1.3
65,68,69,Al/St 240/40 4-bundle 380.0,1711.26619788,64.4,1.0,"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.41937105938048 49.6337356823792)",380000.0,576361.0,0.025,,3.0,0.25,4.0,Ried Ost,Amprion,13.7,50.0,64400.0,2.6
66,70,69,Al/St 240/40 4-bundle 380.0,1711.26619788,55.596,1.0,"SRID=4326;LINESTRING(8.38855636787547 49.9823050841271,8.41937105938048 49.6337356823792)",380000.0,576364.0,0.025,,3.0,0.25,4.0,Ried West,Amprion,13.7,50.0,55596.0,2.6
67,71,72,Al/St 240/40 4-bundle 380.0,1711.26619788,51.283,1.0,"SRID=4326;LINESTRING(12.2621734868101 51.7410202755519,11.8942661378135 51.4057031412478)",380000.0,902595.0,0.025,504,3.0,0.25,4.0,504,50Hertz,13.7,50.0,51283.0,2.6
68,73,74,Al/St 240/40 4-bundle 380.0,1283.44964841,54.278,0.75,"SRID=4326;LINESTRING(13.1570904871893 51.8284516615019,13.9024346886892 51.8747235190459)",380000.0,902597.0,0.033333,501,3.0,0.333333,3.0,501,50Hertz,10.275,50.0,54278.0,1.95
69,37,75,Al/St 240/40 4-bundle 380.0,1283.44964841,118.953,0.75,"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.5165549672107 51.5843592098734)",380000.0,904158.0,0.033333,536,3.0,0.333333,3.0,536 Klostermansfeld - Wolmirstedt,50Hertz,10.275,50.0,118953.0,1.95
70,72,75,Al/St 240/40 4-bundle 380.0,1711.26619788,38.634,1.0,"SRID=4326;LINESTRING(11.8942661378135 51.4057031412478,11.5165549672107 51.5843592098734)",380000.0,904159.0,0.025,538,3.0,0.25,4.0,538 Lauchstädt - Klostermansfeld,50Hertz,13.7,50.0,38634.0,2.6
71,37,72,Al/St 240/40 4-bundle 380.0,1283.44964841,156.914,0.75,"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.8942661378135 51.4057031412478)",380000.0,904160.0,0.033333,535,3.0,0.333333,3.0,535 Lauchstädt - Wolmirstedt,50Hertz,10.275,50.0,156914.0,1.95
72,76,77,Al/St 240/40 4-bundle 380.0,1711.26619788,54.107,1.0,"SRID=4326;LINESTRING(8.70221844882815 51.7363525828065,8.99279240395088 51.343009397907)",380000.0,906772.0,0.025,3016,3.0,0.25,4.0,Leitung 3016,TenneT,13.7,,54107.0,2.6
73,76,77,Al/St 240/40 4-bundle 380.0,1711.26619788,54.107,1.0,"SRID=4326;LINESTRING(8.70221844882815 51.7363525828065,8.99279240395088 51.343009397907)",380000.0,906773.0,0.025,3014,3.0,0.25,4.0,Leitung 3014,TenneT,13.7,,54107.0,2.6
74,77,51,Al/St 240/40 4-bundle 380.0,1711.26619788,41.955,1.0,"SRID=4326;LINESTRING(8.99279240395088 51.343009397907,9.25938382024592 51.0603668474477)",380000.0,906782.0,0.025,3012,3.0,0.25,4.0,Leitung 3212,TenneT,13.7,,41955.0,2.6
75,77,51,Al/St 240/40 4-bundle 380.0,1711.26619788,41.955,1.0,"SRID=4326;LINESTRING(8.99279240395088 51.343009397907,9.25938382024592 51.0603668474477)",380000.0,906784.0,0.025,3013,3.0,0.25,4.0,Leitung 3213,TenneT,13.7,,41955.0,2.6
76,73,72,Al/St 240/40 4-bundle 380.0,1283.44964841,110.358,0.75,"SRID=4326;LINESTRING(13.1570904871893 51.8284516615019,11.8942661378135 51.4057031412478)",380000.0,907513.0,0.033333,503,3.0,0.333333,3.0,503,50Hertz,10.275,50.0,110358.0,1.95
77,18,40,Al/St 240/40 4-bundle 380.0,1283.44964841,56.436,0.75,"SRID=4326;LINESTRING(13.6834769666546 54.1390906406635,13.1433929102518 53.9081469774219)",380000.0,912407.0,0.033333,509,3.0,0.333333,3.0,509,50Hertz,10.275,50.0,56436.0,1.95
78,10_220kV,45,Al/St 240/40 2-bundle 220.0,743.049796447,70.037,1.5,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.3057532949594 52.2307818451873)",220000.0,918562.0,0.053333,526,3.0,0.213333,3.0,526,50Hertz,17.25,50.0,70037.0,1.95
79,10,74,Al/St 240/40 4-bundle 380.0,1283.44964841,130.685,0.75,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.9024346886892 51.8747235190459)",380000.0,918563.0,0.033333,521,3.0,0.333333,3.0,521,50Hertz,10.275,50.0,130685.0,1.95
80,45,74_220kV,Al/St 240/40 2-bundle 220.0,247.683265482,62.038,0.5,"SRID=4326;LINESTRING(13.3057532949594 52.2307818451873,13.9024346886892 51.8747235190459)",220000.0,918564.0,0.16,522,3.0,0.64,1.0,522,50Hertz,5.75,50.0,62038.0,0.65
81,78,32,Al/St 240/40 4-bundle 380.0,1711.26619788,77.738,1.0,"SRID=4326;LINESTRING(11.6463786274424 50.534876971042,11.1228545605428 50.9989090670144)",380000.0,918567.0,0.025,416,3.0,0.25,4.0,416,50Hertz,13.7,50.0,77738.0,2.6
82,79,80,Al/St 240/40 4-bundle 380.0,855.633098939,22.016,0.5,"SRID=4326;LINESTRING(14.4719654742998 51.5538127185923,14.5081091811329 51.4137103812427)",380000.0,919059.0,,566,3.0,,2.0,566,50Hertz,,50.0,22016.0,
83,79,80,Al/St 240/40 4-bundle 380.0,855.633098939,21.999,0.5,"SRID=4326;LINESTRING(14.4719654742998 51.5538127185923,14.5081091811329 51.4137103812427)",380000.0,919060.0,,565,3.0,,2.0,565,50Hertz,,50.0,21999.0,
84,81,79,Al/St 240/40 4-bundle 380.0,855.633098939,62.18,0.5,"SRID=4326;LINESTRING(14.4281804852225 51.8888641394403,14.4719654742998 51.5538127185923)",380000.0,919119.0,,542,3.0,,2.0,542,50Hertz,,50.0,62180.0,
85,81,79,Al/St 240/40 4-bundle 380.0,855.633098939,62.195,0.5,"SRID=4326;LINESTRING(14.4281804852225 51.8888641394403,14.4719654742998 51.5538127185923)",380000.0,919121.0,,541,3.0,,2.0,541,50Hertz,,50.0,62195.0,
86,34,82,Al/St 240/40 2-bundle 220.0,495.366530965,2.344,1.0,"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.14191382633093 53.5640011680095)",220000.0,941141.0,0.08,300,3.0,0.32,2.0,300 Wilhelmshaven - Maade,,11.5,50.0,2344.0,1.3
87,83,84,Al/St 240/40 2-bundle 220.0,495.366530965,13.652,1.0,"SRID=4326;LINESTRING(10.1562824575947 54.2755482549913,10.1773541034729 54.3395212638642)",220000.0,943999.0,0.08,211,3.0,0.32,2.0,211,TenneT,11.5,50.0,13652.0,1.3
88,83,24_220kV,Al/St 240/40 2-bundle 220.0,247.683265482,31.608,0.5,"SRID=4326;LINESTRING(10.1562824575947 54.2755482549913,9.72699196993402 54.2914209867842)",220000.0,945143.0,0.16,207,3.0,0.64,1.0,207,TenneT,5.75,50.0,31608.0,0.65
89,85,86,Al/St 240/40 4-bundle 380.0,1711.26619788,46.344,1.0,"SRID=4326;LINESTRING(7.03496796515083 52.2028607381056,7.30820430094578 52.4768353862806)",380000.0,962084.0,0.025,,3.0,0.25,4.0,Gronau West,Amprion,13.7,50.0,46344.0,2.6
90,87,86,Al/St 240/40 4-bundle 380.0,1711.26619788,110.031,1.0,"SRID=4326;LINESTRING(7.06030699176008 51.6964760130648,7.30820430094578 52.4768353862806)",380000.0,962095.0,0.025,,3.0,0.25,4.0,Münsterland,Amprion,13.7,50.0,110031.0,2.6
91,88,89,Al/St 240/40 2-bundle 220.0,495.366530965,5.752,1.0,"SRID=4326;LINESTRING(6.6746753206169 51.3249574728255,6.72376714521247 51.3556543809247)",220000.0,1190715.0,0.08,,3.0,0.32,2.0,Stratum West,Amprion,11.5,50.0,5752.0,1.3
92,90,86,Al/St 240/40 4-bundle 380.0,1711.26619788,69.877,1.0,"SRID=4326;LINESTRING(7.54571772261949 51.9703244223875,7.30820430094578 52.4768353862806)",380000.0,962096.0,0.025,,3.0,0.25,4.0,Roxel Ost,Amprion,13.7,50.0,69877.0,2.6
93,91,86,Al/St 240/40 4-bundle 380.0,1711.26619788,1.071,1.0,"SRID=4326;LINESTRING(7.30561448538174 52.4801491895706,7.30820430094578 52.4768353862806)",380000.0,962108.0,0.025,,3.0,0.25,4.0,Emsland-D0,Amprion,13.7,50.0,1071.0,2.6
94,86,92,Al/St 240/40 4-bundle 380.0,1711.26619788,1.07,1.0,"SRID=4326;LINESTRING(7.30820430094578 52.4768353862806,7.30433875539085 52.4824259958004)",380000.0,962109.0,0.025,,3.0,0.25,4.0,Emsland-D2,Amprion,13.7,50.0,1070.0,2.6
