name,bus,control,type,p_nom,carrier,marginal_cost
353_220kV Run of River,353_220kV,PQ,,23.3,Run of River,3.0
354 Gas,354,PQ,,540.5,Gas,50.0
354 Hard Coal,354,PQ,,333.0,Hard Coal,25.0
354 Waste,354,PQ,,40.0,Waste,6.0
358 Hard Coal,358,PQ,,318.0,Hard Coal,25.0
36 Gas,36,PQ,,11.06,Gas,50.0
36 Hard Coal,36,PQ,,280.0,Hard Coal,25.0
360_220kV Gas,360_220kV,PQ,,42.0,Gas,50.0
360_220kV Hard Coal,360_220kV,PQ,,779.0,Hard Coal,25.0
360_220kV Waste,360_220kV,PQ,,16.0,Waste,6.0
362_220kV Run of River,362_220kV,PQ,,79.5,Run of River,3.0
363 Other,363,PQ,,16.0,Other,32.0
364 Waste,364,PQ,,11.6,Waste,6.0
365 Gas,365,PQ,,81.8,Gas,50.0
365 Hard Coal,365,PQ,,688.0,Hard Coal,25.0
365 Waste,365,PQ,,36.0,Waste,6.0
367 Nuclear,367,PQ,,1402.0,Nuclear,8.0
370 Brown Coal,370,PQ,,56.8,Brown Coal,10.0
370 Other,370,PQ,,85.0,Other,32.0
373 Run of River,373,PQ,,25.0,Run of River,3.0
374 Gas,374,PQ,,100.2,Gas,50.0
374 Hard Coal,374,PQ,,725.0,Hard Coal,25.0
376 Geothermal,376,PQ,,0.6,Geothermal,26.0
376 Hard Coal,376,PQ,,875.0,Hard Coal,25.0
377 Waste,377,PQ,,11.0,Waste,6.0
378 Gas,378,PQ,,260.44,Gas,50.0
378 Hard Coal,378,PQ,,769.0,Hard Coal,25.0
37_220kV Gas,37_220kV,PQ,,52.0,Gas,50.0
37_220kV Nuclear,37_220kV,PQ,,1360.0,Nuclear,8.0
37_220kV Waste,37_220kV,PQ,,58.4,Waste,6.0
380 Gas,380,PQ,,250.0,Gas,50.0
380 Waste,380,PQ,,22.5,Waste,6.0
382_220kV Gas,382_220kV,PQ,,122.0,Gas,50.0
382_220kV Waste,382_220kV,PQ,,20.7,Waste,6.0
383 Waste,383,PQ,,24.4,Waste,6.0
385_220kV Gas,385_220kV,PQ,,58.4,Gas,50.0
385_220kV Hard Coal,385_220kV,PQ,,24.8,Hard Coal,25.0
385_220kV Oil,385_220kV,PQ,,0.5,Oil,100.0
386 Gas,386,PQ,,23.0,Gas,50.0
39 Gas,39,PQ,,2299.3,Gas,50.0
390 Gas,390,PQ,,1001.3,Gas,50.0
390 Hard Coal,390,PQ,,17.4,Hard Coal,25.0
390 Waste,390,PQ,,18.0,Waste,6.0
394 Gas,394,PQ,,26.5,Gas,50.0
395 Gas,395,PQ,,490.0,Gas,50.0
396 Nuclear,396,PQ,,2572.0,Nuclear,8.0
398 Oil,398,PQ,,87.0,Oil,100.0
399 Gas,399,PQ,,35.1,Gas,50.0
399 Waste,399,PQ,,9.5,Waste,6.0
40 Run of River,40,PQ,,48.0,Run of River,3.0
401 Gas,401,PQ,,31.0,Gas,50.0
402 Oil,402,PQ,,88.0,Oil,100.0
402 Run of River,402,PQ,,60.0,Run of River,3.0
402 Storage Hydro,402,PQ,,158.0,Storage Hydro,3.0
403_220kV Run of River,403_220kV,PQ,,19.0,Run of River,3.0
404_220kV Run of River,404_220kV,PQ,,24.0,Run of River,3.0
405 Gas,405,PQ,,56.0,Gas,50.0
405 Run of River,405,PQ,,84.6,Run of River,3.0
409 Gas,409,PQ,,8.5,Gas,50.0
409 Hard Coal,409,PQ,,112.6,Hard Coal,25.0
409 Oil,409,PQ,,69.9,Oil,100.0
409 Waste,409,PQ,,19.5,Waste,6.0
410 Run of River,410,PQ,,20.1,Run of River,3.0
414 Gas,414,PQ,,193.7,Gas,50.0
417 Run of River,417,PQ,,137.3,Run of River,3.0
418 Run of River,418,PQ,,66.0,Run of River,3.0
421_220kV Waste,421_220kV,PQ,,67.3,Waste,6.0
422 Gas,422,PQ,,13.5,Gas,50.0
423 Run of River,423,PQ,,36.8,Run of River,3.0
424 Oil,424,PQ,,70.0,Oil,100.0
425 Other,425,PQ,,288.5,Other,32.0
426 Gas,426,PQ,,32.4,Gas,50.0
428 Brown Coal,428,PQ,,74.0,Brown Coal,10.0
429 Gas,429,PQ,,112.1,Gas,50.0
429 Hard Coal,429,PQ,,12.0,Hard Coal,25.0
43 Gas,43,PQ,,196.0,Gas,50.0
43 Waste,43,PQ,,17.0,Waste,6.0
430 Brown Coal,430,PQ,,38.5,Brown Coal,10.0
433 Gas,433,PQ,,15.6,Gas,50.0
434 Run of River,434,PQ,,12.8,Run of River,3.0
434 Storage Hydro,434,PQ,,124.0,Storage Hydro,3.0
435 Brown Coal,435,PQ,,164.0,Brown Coal,10.0
438 Run of River,438,PQ,,146.0,Run of River,3.0
439 Gas,439,PQ,,11.7,Gas,50.0
44 Waste,44,PQ,,26.0,Waste,6.0
440 Other,440,PQ,,17.0,Other,32.0
441 Gas,441,PQ,,182.0,Gas,50.0
441 Hard Coal,441,PQ,,61.5,Hard Coal,25.0
442 Gas,442,PQ,,26.5,Gas,50.0
444 Gas,444,PQ,,430.0,Gas,50.0
445 Run of River,445,PQ,,217.1,Run of River,3.0
446 Gas,446,PQ,,14.7,Gas,50.0
447 Gas,447,PQ,,75.0,Gas,50.0
45 Gas,45,PQ,,296.0,Gas,50.0
45 Geothermal,45,PQ,,23.1,Geothermal,26.0
451 Run of River,451,PQ,,104.4,Run of River,3.0
453 Run of River,453,PQ,,30.0,Run of River,3.0
455 Gas,455,PQ,,16.9,Gas,50.0
456 Run of River,456,PQ,,0.1,Run of River,3.0
457 Waste,457,PQ,,29.6,Waste,6.0
463 Gas,463,PQ,,25.8,Gas,50.0
464 Gas,464,PQ,,51.9,Gas,50.0
464 Oil,464,PQ,,66.3,Oil,100.0
464 Run of River,464,PQ,,25.4,Run of River,3.0
465 Gas,465,PQ,,35.0,Gas,50.0
465 Oil,465,PQ,,80.0,Oil,100.0
468 Gas,468,PQ,,17.5,Gas,50.0
468 Hard Coal,468,PQ,,79.0,Hard Coal,25.0
468 Oil,468,PQ,,4.8,Oil,100.0
468 Waste,468,PQ,,16.0,Waste,6.0
47 Gas,47,PQ,,444.0,Gas,50.0
47 Run of River,47,PQ,,31.7,Run of River,3.0
474 Gas,474,PQ,,390.0,Gas,50.0
475 Oil,475,PQ,,250.6,Oil,100.0
478 Gas,478,PQ,,95.0,Gas,50.0
484 Gas,484,PQ,,65.0,Gas,50.0
484 Other,484,PQ,,6.0,Other,32.0
484 Run of River,484,PQ,,66.7,Run of River,3.0
484 Storage Hydro,484,PQ,,45.5,Storage Hydro,3.0
485 Run of River,485,PQ,,26.5,Run of River,3.0
486 Hard Coal,486,PQ,,138.5,Hard Coal,25.0
486 Oil,486,PQ,,11.4,Oil,100.0
487 Brown Coal,487,PQ,,875.0,Brown Coal,10.0
487 Oil,487,PQ,,11.4,Oil,100.0
49 Brown Coal,49,PQ,,352.0,Brown Coal,10.0
49 Hard Coal,49,PQ,,66.0,Hard Coal,25.0
49 Waste,49,PQ,,37.5,Waste,6.0
492 Hard Coal,492,PQ,,54.0,Hard Coal,25.0
492 Waste,492,PQ,,56.9,Waste,6.0
495 Hard Coal,495,PQ,,147.0,Hard Coal,25.0
51 Storage Hydro,51,PQ,,20.0,Storage Hydro,3.0
52_220kV Gas,52_220kV,PQ,,390.0,Gas,50.0
52_220kV Hard Coal,52_220kV,PQ,,1347.0,Hard Coal,25.0
56_220kV Gas,56_220kV,PQ,,11.7,Gas,50.0
58 Gas,58,PQ,,52.5,Gas,50.0
58 Hard Coal,58,PQ,,26.9,Hard Coal,25.0
59 Hard Coal,59,PQ,,324.0,Hard Coal,25.0
5_220kV Run of River,5_220kV,PQ,,4.6,Run of River,3.0
61_220kV Gas,61_220kV,PQ,,334.0,Gas,50.0
61_220kV Hard Coal,61_220kV,PQ,,350.0,Hard Coal,25.0
62 Hard Coal,62,PQ,,119.0,Hard Coal,25.0
62 Run of River,62,PQ,,9.9,Run of River,3.0
62 Waste,62,PQ,,44.0,Waste,6.0
63 Brown Coal,63,PQ,,465.0,Brown Coal,10.0
63 Run of River,63,PQ,,22.0,Run of River,3.0
64 Run of River,64,PQ,,11.2,Run of River,3.0
65 Run of River,65,PQ,,164.5,Run of River,3.0
66 Run of River,66,PQ,,5.1,Run of River,3.0
67 Gas,67,PQ,,14.8,Gas,50.0
67 Hard Coal,67,PQ,,300.0,Hard Coal,25.0
67 Oil,67,PQ,,88.0,Oil,100.0
67 Other,67,PQ,,150.0,Other,32.0
67 Storage Hydro,67,PQ,,392.0,Storage Hydro,3.0
67 Waste,67,PQ,,33.0,Waste,6.0
68_220kV Run of River,68_220kV,PQ,,4.2,Run of River,3.0
69_220kV Gas,69_220kV,PQ,,11.5,Gas,50.0
69_220kV Waste,69_220kV,PQ,,18.8,Waste,6.0
70 Gas,70,PQ,,423.0,Gas,50.0
70 Waste,70,PQ,,15.6,Waste,6.0
71 Brown Coal,71,PQ,,49.0,Brown Coal,10.0
71 Gas,71,PQ,,161.1,Gas,50.0
71 Waste,71,PQ,,9.9,Waste,6.0
72 Brown Coal,72,PQ,,900.0,Brown Coal,10.0
72 Gas,72,PQ,,151.0,Gas,50.0
72 Oil,72,PQ,,120.0,Oil,100.0
74_220kV Gas,74_220kV,PQ,,122.0,Gas,50.0
74_220kV Waste,74_220kV,PQ,,23.3,Waste,6.0
75 Brown Coal,75,PQ,,49.0,Brown Coal,10.0
77 Gas,77,PQ,,5.3,Gas,50.0
79 Brown Coal,79,PQ,,750.0,Brown Coal,10.0
79 Waste,79,PQ,,18.7,Waste,6.0
81 Brown Coal,81,PQ,,2835.0,Brown Coal,10.0
81 Other,81,PQ,,124.5,Other,32.0
83 Brown Coal,83,PQ,,750.0,Brown Coal,10.0
83 Other,83,PQ,,53.6,Other,32.0
84 Hard Coal,84,PQ,,323.0,Hard Coal,25.0
87_220kV Gas,87_220kV,PQ,,138.7,Gas,50.0
87_220kV Hard Coal,87_220kV,PQ,,175.9,Hard Coal,25.0
87_220kV Multiple,87_220kV,PQ,,120.0,Multiple,28.0
88 Gas,88,PQ,,39.8,Gas,50.0
89 Other,89,PQ,,606.0,Other,32.0
92 Gas,92,PQ,,66.0,Gas,50.0
94_220kV Geothermal,94_220kV,PQ,,0.2,Geothermal,26.0
95_220kV Gas,95_220kV,PQ,,24.3,Gas,50.0
99_220kV Gas,99_220kV,PQ,,113.6,Gas,50.0
99_220kV Hard Coal,99_220kV,PQ,,655.6,Hard Coal,25.0
218 Wind Offshore,218,PQ,,48.3,Wind Offshore,0.0
221 Wind Offshore,221,PQ,,400.0,Wind Offshore,0.0
270 Wind Offshore,270,PQ,,60.0,Wind Offshore,0.0
271 Wind Offshore,271,PQ,,1018.0,Wind Offshore,0.0
22_220kV Wind Offshore,22_220kV,PQ,,1447.2,Wind Offshore,0.0
1 Wind Onshore,1,PQ,,153.510391124,Wind Onshore,0.0
3 Wind Onshore,3,PQ,,50.1645064777,Wind Onshore,0.0
4 Wind Onshore,4,PQ,,84.2627790573,Wind Onshore,0.0
6 Wind Onshore,6,PQ,,49.8864693272,Wind Onshore,0.0
7 Wind Onshore,7,PQ,,67.2230767625,Wind Onshore,0.0
8 Wind Onshore,8,PQ,,94.6840441287,Wind Onshore,0.0
9 Wind Onshore,9,PQ,,85.7985253848,Wind Onshore,0.0
11 Wind Onshore,11,PQ,,132.724113719,Wind Onshore,0.0
14 Wind Onshore,14,PQ,,0.0641793580921,Wind Onshore,0.0
16 Wind Onshore,16,PQ,,204.187623515,Wind Onshore,0.0
17 Wind Onshore,17,PQ,,52.7005296089,Wind Onshore,0.0
19 Wind Onshore,19,PQ,,6.03553849736,Wind Onshore,0.0
21 Wind Onshore,21,PQ,,36.1635315924,Wind Onshore,0.0
23 Wind Onshore,23,PQ,,61.8362042365,Wind Onshore,0.0
25 Wind Onshore,25,PQ,,106.787062956,Wind Onshore,0.0
27 Wind Onshore,27,PQ,,13.0295812923,Wind Onshore,0.0
28 Wind Onshore,28,PQ,,71.6568833062,Wind Onshore,0.0
29 Wind Onshore,29,PQ,,293.755374959,Wind Onshore,0.0
31 Wind Onshore,31,PQ,,52.7816062429,Wind Onshore,0.0
33 Wind Onshore,33,PQ,,304.429780208,Wind Onshore,0.0
34 Wind Onshore,34,PQ,,20.6686903142,Wind Onshore,0.0
35 Wind Onshore,35,PQ,,16.3680870699,Wind Onshore,0.0
36 Wind Onshore,36,PQ,,273.855776496,Wind Onshore,0.0
38 Wind Onshore,38,PQ,,2.8560689855,Wind Onshore,0.0
39 Wind Onshore,39,PQ,,603.943953043,Wind Onshore,0.0
40 Wind Onshore,40,PQ,,426.979978559,Wind Onshore,0.0
41 Wind Onshore,41,PQ,,1055.73517403,Wind Onshore,0.0
43 Wind Onshore,43,PQ,,414.871332023,Wind Onshore,0.0
44 Wind Onshore,44,PQ,,10.3516315814,Wind Onshore,0.0
45 Wind Onshore,45,PQ,,161.862596706,Wind Onshore,0.0
47 Wind Onshore,47,PQ,,2.87856145665,Wind Onshore,0.0
48 Wind Onshore,48,PQ,,8.67091627581,Wind Onshore,0.0
49 Wind Onshore,49,PQ,,209.786523699,Wind Onshore,0.0
50 Wind Onshore,50,PQ,,339.421642565,Wind Onshore,0.0
51 Wind Onshore,51,PQ,,134.399019048,Wind Onshore,0.0
53 Wind Onshore,53,PQ,,32.6535257613,Wind Onshore,0.0
54 Wind Onshore,54,PQ,,5.00902220665,Wind Onshore,0.0
55 Wind Onshore,55,PQ,,3.19075884669,Wind Onshore,0.0
57 Wind Onshore,57,PQ,,0.788599328058,Wind Onshore,0.0
